avgBuildLatency,timeFlag,ageAtCD,totalBuilds,nIssuesOfDockerfile,nLinesOfDockerfile,totalCommits,workflow,baseImage
3.1333,12,0.0017,63,9,38,17,Docker,baseimage
3.13335,15,0.0058,133,4,7,2,Docker,ubuntu
3.13492857,8,70.3905,0,0,1,179,Travis,docker-rails
3.13518889,1,98.0739,0,6,15.5,55,Circle,node
3.13716923,0,345.606,0,6.7778,18.5556,102,Travis,ubuntu
3.13772105,6,786.55,0,4,18,2304,Travis,php
3.141675,0,2.4782,0,2,5.5,40,Circle,result-processing
3.141675,3,535.883,0,4.75,6.25,534,Circle,cymetric-deps
3.1426,11,0.0561,0,1,115.5,12,Travis,php
3.1453125,17,786.55,0,6,18.5,2304,Travis,php
3.14721875,1,182.067,0,0,8,893,Circle,node
3.1472973,2,717.775,0,0,8.4444,2145,Circle,node
3.15,11,1.8103,0,0,12.6667,54,Circle,node
3.15833333,4,0.0098,176,6,4,4,Docker,jenkins
3.15835,0,450.449,0,1,6,169,Travis,alpine-java
3.15925556,11,841.838,0,2,7,436,Circle,node
3.16201324,3,717.775,0,0,9,2145,Circle,node
3.162475,2,0.0036,79,6,25,60,Docker,debian
3.16334,3,0.0036,103,2,16.3333,105,Docker,alpine
3.16663333,3,5.5451,0,1,4,110,Travis,java
3.16665,2,503.66,0,2.2857,7.8571,159,Travis,openjdk
3.16665,14,450.449,0,3,6,169,Travis,alpine-java
3.1667,4,5.0017,87,3,16,107,Docker,java
3.1667,7,708.75,0,2,12,99,Travis,alpine
3.1667,10,0.0036,79,12,36,60,Docker,debian
3.1667,11,2.3135,0,1,3.6,36,Circle,tomcat
3.16793846,7,70.3905,0,0,1,179,Travis,docker-rails
3.17223333,3,4.3663,0,3.125,7.875,134,Travis,mono
3.17223333,4,2.4782,0,1.3333,6.6667,40,Circle,result-processing
3.17776667,3,25.4439,0,0,9,32,Circle,scratch
3.17806842,4,717.775,0,0,8.5714,2145,Circle,node
3.18038824,6,72.5254,0,1.5,7,55,Circle,erlang18
3.180835,5,0.1057,152,2,7,22,Docker,mesos
3.1817777,1,0.1232,0,3,5,194,Circle,nginx
3.1833,1,245.74,0,0,4.5,321,Travis,scratch
3.1833,4,73.0325,0,2,4.4,577,Travis,nginx
3.183325,1,25.4439,0,0,9,32,Circle,scratch
3.18518889,0,25.4439,0,2,6.5,32,Circle,scratch
3.19165,5,274.265,0,1.5,4.5,71,Circle,nginx
3.1917,6,450.449,0,3,6,169,Travis,alpine-java
3.19375,2,204.008,0,8,16,448,Travis,nginx
3.195825,2,430.951,0,1,4.6667,203,Circle,scratch
3.195825,25,120.021,0,2,8.3333,1847,Circle,ruby
3.19643571,0,0.9345,0,2,20,1123,Circle,centos
3.19906292,1,73.0325,0,2,4.4,577,Travis,nginx
3.2,17,0.0558,18,3.5,5,10,Docker,taiga-back
3.200025,1,20.3874,0,2,7,31,Circle,java
3.2026871,3,0.0064,111,0,2,4,Docker,rabbitmq
3.202775,1,139.956,0,0,8,363,Circle,busybox
3.20415,4,27.9165,33,1,33.5,38,Docker,alpine-nginx
3.208325,4,535.883,0,4.75,6.25,534,Circle,cymetric-deps
3.2125,2,377.098,0,3.4444,9.4444,178,Circle,alpine-node
3.21665,6,274.265,0,1.5,4.5,71,Circle,nginx
3.21666667,15,938.294,224,3.2,11.4,340,Docker,base
3.21667895,12,841.838,0,2,7,436,Circle,node
3.2167,5,17.0443,0,9,14.6667,70,Circle,ubuntu
3.2167,9,450.449,0,3,6,169,Travis,alpine-java
3.21771094,0,167.098,0,1,11.5,141,Travis,scratch
3.21825714,6,70.3905,0,2.4,7,179,Travis,docker-rails
3.2208375,0,140.839,0,1.4,8.9,82,Travis,java
3.22189412,0,6.9593,0,1,2,232,Circle,nginx
3.22254706,5,345.935,0,1,10.6667,421,Circle,alpine
3.22654444,0,0.0009,0,3,5.75,65,Circle,basebox
3.22776667,15,92.7464,0,1,12.2857,924,Travis,fpm-nginx
3.22857143,9,841.838,0,2,7,436,Circle,node
3.23204615,5,198.945,0,3,9.5,621,Travis,ruby
3.2333,1,4.8695,0,0,6.25,110,Circle,golang
3.23611215,11,23.8922,0,1,5,323,Travis,openjdk
3.23689286,4,430.951,0,1,4.6667,203,Circle,scratch
3.2375,19,0.0058,133,4,7,2,Docker,ubuntu
3.24464643,11,0.0026,167,2,5,2,Docker,nginx
3.24870769,6,286.854,0,2,5,355,Travis,busybox
3.25835,21,29.3739,0,2,20.5,1289,Circle,centos
3.26000667,6,120.021,0,2,8.3333,1847,Circle,ruby
3.26234444,0,0.0313,30,3.0339,11.9153,96,Docker,elasticsearch
3.26250625,1,8.0164,0,3.5714,37.2857,197,Travis,ubuntu
3.2648,2,25.4439,0,0,9,32,Circle,scratch
3.2667,13,1.9786,0,1,2,93,Travis,nginx
3.26852222,1,644.631,0,0,9,253,Circle,node
3.26944167,16,14.898,0,4,15,164,Travis,golang
3.27113659,10,433.042,0,2.8571,22.7143,823,Travis,golang
3.275,8,182.067,0,0,8,893,Circle,node
3.275,23,0.0386,69,1,10,34,Docker,baseimage
3.27718947,2,73.0325,0,2,4.4,577,Travis,nginx
3.2791875,16,4.5204,0,1,22.25,118,Circle,alpine-node
3.28089067,1,0.0064,643,3,10,5,Docker,java
3.28564444,10,618.774,0,1.5,5.5,418,Circle,busybox
3.2895875,0,0.0172,11,2.6667,8.3333,18,Docker,baseimage
3.29165,5,708.75,0,2,12,99,Travis,alpine
3.2917,12,0.0036,103,2,17,105,Docker,alpine
3.29210526,0,758.624,0,1.3333,3,256,Travis,golang
3.29428,3,0.4726,0,6,31.25,42,Travis,chrome-headless-browser
3.29446667,1,0.0022,13,1,5,17,Docker,node
3.29667333,0,538.076,0,3.3333,12.6667,199,Travis,openjdk
3.30262105,11,0.7265,575,1,17.3333,8,Docker,java
3.30356429,11,786.55,0,6,21,2304,Travis,php
3.308325,7,30.266,111,3,5,174,Docker,base
3.309375,0,4.3663,0,3.5,5.5,134,Travis,mono
3.309375,0,146.595,0,4,9,273,Travis,websphere-liberty
3.3119,2,758.624,0,2,9,256,Travis,golang
3.31225294,0,182.067,0,0,8,893,Circle,node
3.31388333,5,430.951,0,1,4.6667,203,Circle,scratch
3.31665,5,821.945,0,2.6923,7.4615,262,Travis,java
3.31666667,0,149.07,0,6,10.6667,54,Circle,ubuntu
3.32114146,15,0.0106,542,6,10,3,Docker,ubuntu
3.32223333,0,64.8187,0,0,10,215,Travis,node
3.32425455,5,642.966,0,4,9,387,Travis,jdkydl
3.328275,0,398.136,0,9,17,521,Circle,docker-perl-app-base
3.32832667,4,345.935,0,1,10.6667,421,Circle,alpine
3.32845244,12,786.55,0,6,21,2304,Travis,php
3.3333,22,0.0059,196,1.3333,4,5,Docker,alpine
3.3333375,17,14.898,0,1,17,164,Travis,golang
3.33666,17,0.0058,133,4,7,2,Docker,ubuntu
3.33787273,0,0.0162,0,1,12,23,Circle,node
3.34165,1,0.0322,0,1,12.6667,69,Circle,alpine
3.34165,11,0.0041,11,4,10,4,Docker,debian
3.34443333,11,65.8492,44,2,2,27,Docker,alpine-golang-make-onbuild
3.3454175,7,198.945,0,3,9.5,621,Travis,ruby
3.34679231,2,72.5254,0,1.5,7,55,Circle,erlang18
3.34722333,0,5.1926,0,2,4,244,Circle,wildfly
3.35,1,110.195,0,0.75,38.75,386,Circle,python
3.35,8,208.122,0,4,17,99,Circle,core-box
3.35,11,52.0142,78,2.5,31,62,Docker,alpine
3.35667,10,285.101,0,2,9.5,239,Travis,golang
3.358325,4,4.3663,0,3.125,7.875,134,Travis,mono
3.35965789,0,0.2366,19,1,12,14,Docker,python
3.36304783,3,204.008,0,8,16,448,Travis,nginx
3.36388333,7,0.0036,103,2,17,105,Docker,alpine
3.36429286,6,182.067,0,0,8,893,Circle,node
3.36786978,7,224.738,0,2.3333,7.3333,2974,Circle,golang
3.36795077,0,0.0638,182,4,17.3333,49,Docker,baseimage-oraclejdk
3.36851111,0,17.0168,35,1.6667,13.2381,49,Docker,nginx
3.36851667,4,0.1232,0,3,5,194,Circle,nginx
3.37085,19,0.0035,243,1,22,27,Docker,alpine
3.3733,14,0.0358,210,1,8,2,Docker,cflinuxfs2
3.3746,7,72.5254,0,1.5,7,55,Circle,erlang18
3.375,9,274.265,0,1.5,4.5,71,Circle,nginx
3.375025,13,139.006,0,8,52.2,174,Travis,ubuntu
3.38187826,0,503.66,0,2.2857,7.8571,159,Travis,openjdk
3.3833,1,79.9721,0,6,12,126,Travis,golang
3.39166667,9,717.775,0,0,9.25,2145,Circle,node
3.39546364,3,4.5204,0,2,12.75,118,Circle,alpine-node
3.3963,1,1.9786,0,1,2,93,Travis,nginx
3.39814444,0,39.0562,0,8,17.6,701,Circle,slidehub-base
3.39907222,0,28.0398,0,1.3333,5,91,Circle,alpine
3.404175,14,0.0386,69,1,10,34,Docker,baseimage
3.40455455,0,3.493,0,1.2857,12,80,Circle,node
3.4046875,0,491.425,0,0,10,164,Circle,node
3.40813527,8,224.738,0,2.3333,7.3333,2974,Circle,golang
3.40833333,0,6.0321,0,3.0714,10.2143,62,Circle,node
3.41113333,5,0.0036,103,2,16.3333,105,Docker,alpine
3.412915,6,398.136,0,9,17,521,Circle,docker-perl-app-base
3.4167,13,0.0012,95,1.3333,9.3333,3,Docker,alpine
3.42223333,7,95.0106,31,1,12,65,Docker,alpine
3.425,0,209.99,42,1.6,11.6,39,Docker,alpine
3.425,10,377.098,0,3.4444,9.4444,178,Circle,alpine-node
3.4279175,5,120.021,0,2,8.3333,1847,Circle,ruby
3.427996,4,387.764,0,0,3,152,Travis,node
3.43,0,245.74,0,0,4.5,321,Travis,scratch
3.4312301,0,0.1232,0,4,8,194,Circle,nginx
3.4333,8,95.0106,31,1,12,65,Docker,alpine
3.4333,12,285.101,0,2,9.5,239,Travis,golang
3.4333,14,0.0036,103,2,17,105,Docker,alpine
3.43664,11,285.101,0,2,9.5,239,Travis,golang
3.44012222,1,398.136,0,9,17,521,Circle,docker-perl-app-base
3.44165,2,7.9905,0,3,8,244,Circle,basebottle
3.4416625,8,285.101,0,1,3.6667,239,Travis,golang
3.44461935,1,4.3663,0,3.125,7.875,134,Travis,mono
3.44522857,8,286.854,0,2,5,355,Travis,busybox
3.44545455,1,0.1751,330,9.5,11.5,4,Docker,nginx
3.45,11,1.2714,13,1,17.5,8,Docker,ubuntu
3.45278333,4,25.0743,0,3,5,323,Circle,nginx
3.45334,3,0.0031,94,2,7,1,Docker,alpine
3.458325,2,19.93,0,0,17,88,Circle,alpine
3.45896923,0,0.0029,248,1,8,2,Docker,tomcat
3.46076875,4,182.067,0,0,8,893,Circle,node
3.46078235,0,0.0032,0,2.4762,5.9524,89,Circle,hub-runtime
3.4611,5,6.0321,0,3.0714,10.2143,62,Circle,node
3.46304348,1,128.551,0,3,6.25,218,Travis,oracle-jdk
3.46666667,1,503.66,0,2.2857,7.8571,159,Travis,openjdk
3.46795385,0,146.273,14,4.0769,22.1538,12,Docker,laravel-container
3.470835,8,398.136,0,9,17,521,Circle,docker-perl-app-base
3.47929789,0,0.1622,804,4,3,3,Docker,nodejs-bower-grunt
3.48045977,0,120.021,0,2,8.3333,1847,Circle,ruby
3.48075385,0,1.1463,0,1,4,52,Circle,wildfly
3.4811,5,0.0022,56,0.8,12.8,55,Docker,alpine
3.48125,3,182.067,0,0,8,893,Circle,node
3.4833,1,0.0006,14,3,6.6667,17,Docker,ruby
3.4833,7,62.2769,39,3.8333,18.5,31,Docker,elasticsearch
3.483325,0,0.0022,56,4.25,14.5,55,Docker,alpine
3.483325,0,33.9518,0,2,5,98,Circle,node
3.48333333,1,0.1307,0,1.25,6.75,34,Circle,result-processing
3.48628438,7,786.55,0,4,18,2304,Travis,php
3.48747293,5,0.0064,643,3,10,5,Docker,java
3.4875125,0,0.084,11,0.2,3.8,5,Docker,influxdb
3.48974615,13,786.55,0,6,21,2304,Travis,php
3.49026667,0,0.0305,29,1,25.25,31,Docker,debian
3.49072778,9,83.0324,0,0.3333,9,88,Circle,node
3.49165,24,0.0386,69,1,10,34,Docker,baseimage
3.49249,1,3.4829,0,6,32.625,222,Circle,base-jdk
3.49375,0,0.0039,17,4.25,25.375,17,Docker,ubuntu
3.49443333,8,0.0022,56,1,23,55,Docker,alpine
3.49445208,0,387.764,0,0,3,152,Travis,node
3.4947386,0,433.042,0,6.5,14,823,Travis,golang
3.495825,0,0.2089,23,4,28.8571,8,Docker,systemd-base
3.49583214,7,398.136,0,9,17,521,Circle,docker-perl-app-base
3.5,2,98.0739,0,4,17,55,Circle,node
3.5,5,4.3663,0,3.125,7.875,134,Travis,mono
3.5,11,0.0037,48,1,13.6,13,Docker,alpine
3.50024697,1,0.1622,804,4,3,3,Docker,nodejs-bower-grunt
3.50499,5,19.93,0,0,17,88,Circle,alpine
3.50666,1,204.008,0,4.1071,10.5714,448,Travis,nginx
3.5111,22,65.8492,44,2,2,27,Docker,alpine-golang-make-onbuild
3.5167,2,0.1307,0,1.25,6.75,34,Circle,result-processing
3.5167,4,642.966,0,4,9,387,Travis,jdkydl
3.5167,18,0.0595,0,2.5,7,135,Circle,node
3.52123894,7,120.021,0,2,8.3333,1847,Circle,ruby
3.52624468,3,187.126,0,2.125,6.875,601,Circle,python
3.52666,10,550.778,0,0,10,936,Circle,node
3.52856735,4,0.0029,248,1,8,2,Docker,tomcat
3.53055,5,286.854,0,2,5,355,Travis,busybox
3.53056667,0,0.0183,15,5.8333,7.1667,13,Docker,oracle-java
3.53334,20,0.0058,133,4,7,2,Docker,ubuntu
3.53645208,2,183.34,0,1.3333,11,846,Travis,node
3.53796111,1,0.0098,176,6,4,4,Docker,jenkins
3.5389,19,644.631,0,0,11,253,Circle,node
3.541675,8,204.008,0,8,17.3333,448,Travis,nginx
3.54334,0,755.805,0,0,7.75,185,Circle,python
3.54375,3,1.9786,0,1,2,93,Travis,nginx
3.54666,3,644.631,0,0,9,253,Circle,node
3.54919839,0,7.3738,0,1,7,227,Travis,node
3.54945333,6,7.9905,0,3,18.6,244,Circle,basebottle
3.54998571,10,0.7265,575,1,17.3333,8,Docker,java
3.55,0,79.9721,0,6,12,126,Travis,golang
3.55,15,1.2714,13,1,17.5,8,Docker,ubuntu
3.55044595,1,0.0549,77,1,10,61,Docker,golang
3.55555,1,758.624,0,2,9,256,Travis,golang
3.55556667,4,377.098,0,3.4444,9.4444,178,Circle,alpine-node
3.55773214,2,70.3905,0,2.4,7,179,Travis,docker-rails
3.55835,17,644.631,0,0,11,253,Circle,node
3.56518444,10,398.136,0,9,17,521,Circle,docker-perl-app-base
3.57085,21,0.0058,133,4,7,2,Docker,ubuntu
3.5722,9,0.0037,48,1,13.6,13,Docker,alpine
3.57282826,0,70.3905,0,2.4,7,179,Travis,docker-rails
3.57575758,0,0.4973,0,0,8.3333,43,Travis,centos
3.5770459,15,120.021,0,2,8.3333,1847,Circle,ruby
3.57738214,11,717.775,0,0,9.25,2145,Circle,node
3.5816775,5,398.136,0,9,17,521,Circle,docker-perl-app-base
3.5833,21,0.0424,15,0,10,9,Docker,centos
3.58511786,11,398.136,0,9,17,521,Circle,docker-perl-app-base
3.58667333,0,438.017,0,4.6,16.2,112,Travis,node
3.59,1,1.8103,0,0,12.6667,54,Circle,node
3.59168333,10,841.838,0,2,7,436,Circle,node
3.59284286,19,0.0085,160,3,36,15,Docker,alpine
3.59314118,12,550.778,0,0,10,936,Circle,node
3.59444444,0,42.0784,0,1,8.2,71,Circle,golang
3.59721667,0,243.077,11,5.375,19,20,Docker,debian
3.59945,5,841.838,0,2,7,436,Circle,node
3.6,1,1366.79,0,3.5,4,659,Travis,jetty
3.6,11,314.648,50,3,18,45,Docker,alpine
3.6,16,3.7488,13,2,14,36,Docker,sonarqube
3.60087368,9,0.0026,167,2,5,2,Docker,nginx
3.60715714,1,187.126,0,2.125,6.875,601,Circle,python
3.60833125,2,286.854,0,2,5,355,Travis,busybox
3.60835,4,450.449,0,3,6,169,Travis,alpine-java
3.60940484,0,903.901,0,0,8,3820,Circle,node
3.60991667,14,786.55,0,6,21,2304,Travis,php
3.61515455,9,285.101,0,2,5,239,Travis,golang
3.61665,5,345.606,0,6.7778,18.5556,102,Travis,ubuntu
3.6167,9,1.2714,13,1,17.5,8,Docker,ubuntu
3.61805833,8,0.0617,213,1,8,3,Docker,cflinuxfs2
3.61923846,0,0.4417,0,1,5,57,Travis,java
3.6222,0,0.0617,213,1,8,3,Docker,cflinuxfs2
3.625,12,4.3663,0,3.125,7.875,134,Travis,mono
3.62821538,1,0.0043,22,4.8889,15.5556,22,Docker,nginx-php-fpm
3.63002,5,0.0112,16,4,9.5,18,Docker,jenkins
3.63335,0,0.0455,11,1,6,4,Docker,alpine
3.63948923,0,786.55,0,4.75,19.5357,2304,Travis,php
3.64090909,2,539.112,0,5,10,108,Circle,node
3.64165,10,0.5667,112,3.6667,17.3333,11,Docker,alpine
3.6417,1,42.0784,0,1,8.2,71,Circle,golang
3.6463,4,900.704,0,0.2381,14.8095,1848,Circle,php
3.64721667,1,0.0878,59,3.5,10.5,12,Docker,mirakurun
3.64762143,0,0.0878,59,3.5,10.5,12,Docker,mirakurun
3.65,3,21.8894,0,2,5,364,Circle,alpine
3.65,4,29.0707,0,0,3,112,Circle,jetty
3.65,10,4.3663,0,3.125,7.875,134,Travis,mono
3.65259111,1,70.3905,0,2.4,7,179,Travis,docker-rails
3.65308889,4,398.136,0,9,17,521,Circle,docker-perl-app-base
3.65471333,3,398.136,0,9,17,521,Circle,docker-perl-app-base
3.65556667,0,0.0028,27,2,8.3333,10,Docker,alpine
3.65564462,1,72.5254,0,1.5,7,55,Circle,erlang18
3.6583,1,314.648,50,3,17,45,Docker,alpine
3.65835,4,1.9786,0,1,2,93,Travis,nginx
3.65998,2,841.838,0,2,7,436,Circle,node
3.6667,14,209.99,42,2.9231,18.9231,39,Docker,alpine
3.66769091,5,0.0086,0,11.25,19.25,852,Circle,docker-perl-app-base
3.66945,12,938.294,224,2,5,340,Docker,base
3.67111333,1,37.9263,0,2,7,133,Travis,nginx-template-image
3.67437407,3,901.904,0,2,7,372,Circle,node
3.675,4,708.75,0,2,12,99,Travis,alpine
3.67728182,15,4.5204,0,1,15,118,Circle,alpine-node
3.6778,12,182.067,0,0,12,893,Circle,node
3.679175,6,1.6272,80,1,5,32,Docker,logstash
3.68112,0,0.4726,0,5.5,24.25,42,Travis,chrome-headless-browser
3.68275517,5,0.0035,243,1,11,27,Docker,alpine
3.6833,1,0.0034,39,1,26,30,Docker,alpine
3.6833,8,4.3663,0,3.125,7.875,134,Travis,mono
3.6855087,9,70.3905,0,0,1,179,Travis,docker-rails
3.68618857,0,4.4008,0,4.5833,19,100,Travis,debian
3.68938182,1,0.0036,280,1.25,13,5,Docker,java
3.691675,13,209.99,42,1.2353,14.6471,39,Docker,alpine
3.6917,2,314.648,50,3,17,45,Docker,alpine
3.69443333,1,140.839,0,1.4,8.9,82,Travis,java
3.6978766,0,0.0064,643,3,10,5,Docker,java
3.7,0,1.1784,0,6.875,20.375,110,Circle,ubuntu
3.7,7,274.265,0,1.5,4.5,71,Circle,nginx
3.7,9,183.34,0,1.25,10.75,846,Travis,node
3.704165,0,23.1293,0,0.8,3.2,157,Circle,java
3.704175,12,209.99,42,2.5,18.75,39,Docker,alpine
3.70652391,15,0.0086,0,11,19,852,Circle,docker-perl-app-base
3.7083375,2,500.114,0,7.5,25.5,173,Travis,python
3.71,0,0.0112,14,5,9,15,Docker,node
3.71053158,0,5.4865,0,10.8,12,32,Travis,debian
3.716675,7,0.0034,39,2,29.5,30,Docker,alpine
3.72166,9,235.081,0,9,13,208,Circle,alpine
3.7229125,1,438.017,0,4.6,16.2,112,Travis,node
3.72314444,2,398.136,0,9,17,521,Circle,docker-perl-app-base
3.72325814,9,398.136,0,9,17,521,Circle,docker-perl-app-base
3.72776667,2,438.017,0,4.6,16.2,112,Travis,node
3.7285411,4,7.0611,0,1,9.75,684,Circle,basejava
3.72858571,6,2.1497,0,4,15,47,Circle,core-box
3.7291625,1,0.0113,0,1,9,39,Circle,golang
3.72976429,2,0.0542,22,1,13,17,Docker,debian
3.73044133,9,224.738,0,2,7,2974,Circle,golang
3.73289737,3,146.595,0,6,19.9333,273,Travis,websphere-liberty
3.7333,4,644.631,0,0,9,253,Circle,node
3.7333,17,0.4248,36,1,44,19,Docker,archlinux-small
3.73381471,0,0.5106,0,2.375,7.75,40,Travis,nimgram-base
3.735,3,755.805,0,0,12.3333,185,Circle,python
3.735425,2,955.066,0,2,7,609,Circle,node
3.73668,22,0.0058,133,4,7,2,Docker,ubuntu
3.7389,5,0.0431,19,1,3,24,Docker,python
3.74134815,0,9.0212,0,4.9483,17.8793,248,Circle,centos
3.7427,11,550.778,0,0,10,936,Circle,node
3.74445,16,0.0036,103,2,17,105,Docker,alpine
3.74696364,0,37.9017,0,2.8571,13,82,Circle,nodejs
3.74721667,0,1575.08,0,0,14,988,Circle,python
3.75167,0,0.1559,0,2,4,55,Circle,alpine
3.7520875,13,98.0739,0,4,19,55,Circle,node
3.755,6,198.945,0,3,9.5,621,Travis,ruby
3.75501,2,0.0638,182,4,19,49,Docker,baseimage-oraclejdk
3.7583375,1,955.066,0,2,7,609,Circle,node
3.76,2,4.3663,0,3.125,7.875,134,Travis,mono
3.76357778,1,0.0045,418,3,9,5,Docker,golang
3.76425658,7,0.0086,0,11,19,852,Circle,docker-perl-app-base
3.76666,0,0.0081,19,2,5.5,4,Docker,tools
3.76666667,18,644.631,0,0,11,253,Circle,node
3.76790741,4,30.266,111,2.4,4.4,174,Docker,base
3.76874375,0,204.008,0,4.1071,10.5714,448,Travis,nginx
3.77423636,0,821.945,0,2.6923,7.4615,262,Travis,java
3.77456316,2,901.904,0,2,7,372,Circle,node
3.77461932,12,433.042,0,5,10,823,Travis,golang
3.775,14,0.0024,18,1,76,25,Docker,ubuntu
3.77522703,1,903.901,0,0,10,3820,Circle,node
3.7762,0,0.0038,16,1.6667,14.1667,11,Docker,centos
3.77666333,6,0.1057,152,2,7,22,Docker,mesos
3.77776667,5,2.882,61,11,33,12,Docker,alpn-consul
3.7833,11,424.04,0,8,14,75,Travis,buildroot_basic
3.7833375,7,0.0026,167,2,5,2,Docker,nginx
3.7833375,10,717.775,0,0,9.25,2145,Circle,node
3.7875,3,50.2294,0,0,3,86,Travis,python
3.78886667,4,183.34,0,1.3333,11,846,Travis,node
3.79131304,4,70.3905,0,2.4,7,179,Travis,docker-rails
3.79165,5,13.8373,0,2,10.6667,75,Circle,node
3.79165,11,618.774,0,1.5,5.5,418,Circle,busybox
3.79315179,8,0.0086,0,11,19,852,Circle,docker-perl-app-base
3.8,4,0.0044,23,6,17,14,Docker,ubuntu
3.8,7,450.449,0,3,6,169,Travis,alpine-java
3.8,12,114.074,20,3,47,8,Docker,alpine
3.802775,3,539.112,0,5,10,108,Circle,node
3.80336,1,0.0342,65,2.6667,8,5,Docker,elk
3.8041625,13,5.0292,79,2,8.5,42,Docker,centos
3.80475714,0,394.062,0,3,5,68,Circle,None
3.80553333,18,0.0036,103,2,17,105,Docker,alpine
3.80556667,11,644.631,0,0,11,253,Circle,node
3.80781875,13,841.838,0,2,7,436,Circle,node
3.80953571,7,0.7054,299,1.8,7.2,22,Docker,wordpress
3.81275294,0,110.195,0,0.75,38.75,386,Circle,python
3.81333,4,955.066,0,2,7,609,Circle,node
3.81665556,0,535.883,0,4.75,6.25,534,Circle,cymetric-deps
3.8167,8,0.0039,78,4,6,8,Docker,openjdk
3.8167,25,11.9235,28,1,9.3077,85,Docker,golang
3.82245067,8,786.55,0,3.7143,12.8571,2304,Travis,php
3.82332,4,0.0253,12,2,11,8,Docker,alpine
3.825,19,82.3704,0,0,10,71,Circle,node
3.83094286,14,82.3704,0,0,10,71,Circle,node
3.8333,6,10.8772,0,0,3,62,Circle,java
3.83335,3,0.0253,12,2,11,8,Docker,alpine
3.83382353,1,387.764,0,0,3,152,Travis,node
3.84165,1,0.0047,81,5,23,15,Docker,jenkins
3.84165,2,0.0253,12,2,11,8,Docker,alpine
3.84849545,7,23.1293,0,2,5,157,Circle,java
3.849975,5,243.077,11,5.375,19,20,Docker,debian
3.85,8,1609.01,0,11.3333,29.6667,164,Travis,debian
3.85,10,0.0012,13,2,10,1,Docker,archlinux
3.85311875,6,0.0029,248,1,8,2,Docker,tomcat
3.858325,3,218.159,0,2,18,211,Travis,haproxy
3.85835,1,217.199,0,3,12.5,400,Travis,websphere-liberty
3.86249167,3,7.9905,0,3,8,244,Circle,basebottle
3.86499,4,901.904,0,2,7,372,Circle,node
3.86665,2,0.0055,93,4,8,14,Docker,fast-data-dev
3.86666429,6,30.266,111,3,5,174,Docker,base
3.8667,0,0.7883,20,6,22,10,Docker,debian
3.8667,2,62.2769,39,8,17,31,Docker,elasticsearch
3.8724803,2,903.901,0,0,10,3820,Circle,node
3.87360833,9,550.778,0,0,10,936,Circle,node
3.87776667,8,0.7568,0,1,8,134,Circle,debian
3.879175,5,19.886,29,4,26.5,44,Docker,ubuntu-16-nginx-php-phpmyadmin
3.87982632,1,901.904,0,2,7,372,Circle,node
3.882002,14,0.0086,0,11,19,852,Circle,docker-perl-app-base
3.88254286,1,5.4865,0,10.8,12,32,Travis,debian
3.8833,11,29.0707,0,0,3,112,Circle,jetty
3.8833,12,642.966,0,4,9,387,Travis,jdkydl
3.88562586,2,224.738,0,1.5,6,2974,Circle,golang
3.88704074,1,0.7265,575,1,17.3333,8,Docker,java
3.8889,11,4.3663,0,3.125,7.875,134,Travis,mono
3.89203043,15,786.55,0,6,18.5,2304,Travis,php
3.89923636,0,1609.01,0,11.3333,29.6667,164,Travis,debian
3.9,9,923.619,0,2,17,1350,Travis,alpine-oraclejdk8
3.9,12,1.2384,29,1,9,15,Docker,java
3.9,13,0.02,28,1,20.6667,22,Docker,java
3.90001429,5,955.066,0,2,7,609,Circle,node
3.90555476,7,0.7265,575,1,17.3333,8,Docker,java
3.90556667,1,0.0007,26,8,19,32,Docker,ubuntu
3.90974167,7,0.5667,112,3.6667,17.3333,11,Docker,alpine
3.91000667,0,745.745,0,1,6,171,Circle,golang
3.91299706,4,198.945,0,3,9.5,621,Travis,ruby
3.91334,7,755.805,0,0,12.3333,185,Circle,python
3.9145875,0,0.0058,19,8.75,22.25,18,Docker,ubuntu
3.91493793,16,786.55,0,6,18.5,2304,Travis,php
3.91833,19,0.0086,0,11,19,852,Circle,docker-perl-app-base
3.91969091,5,29.0707,0,0,3,112,Circle,jetty
3.920825,1,0.0324,0,1,7,70,Travis,node
3.92454722,1,0.9345,0,2,18.5,1123,Circle,centos
3.9262,18,550.778,0,0,10,936,Circle,node
3.92685556,6,955.066,0,2,7,609,Circle,node
3.92705283,13,0.0086,0,11,19,852,Circle,docker-perl-app-base
3.92923188,0,73.0325,0,2,4.4,577,Travis,nginx
3.93086667,7,923.619,0,2,17,1350,Travis,alpine-oraclejdk8
3.93125,0,16.0888,13,12,27.4286,18,Docker,debian
3.93387705,1,224.738,0,1.5,6,2974,Circle,golang
3.94001,2,786.55,0,12,23,2304,Travis,php
3.94469545,0,0,0,1.3333,4.3333,261,Circle,alpine
3.94575455,17,550.778,0,0,10,936,Circle,node
3.95,16,0.0007,26,8,19,32,Docker,ubuntu
3.958325,5,52.0142,78,2.5,31,62,Docker,alpine
3.958325,15,0.0617,213,1,8,3,Docker,cflinuxfs2
3.96218269,0,656.702,0,1,4.2881,802,Travis,java
3.965275,3,955.066,0,2,7,609,Circle,node
3.97,6,8.4219,129,3,37.3333,41,Docker,alpine-glibc
3.97334,7,170.079,0,5,6,240,Travis,node
3.97580968,10,0.0045,418,3,9,5,Docker,golang
3.97776667,1,900.704,0,0.2381,14.8095,1848,Circle,php
