avgBuildLatency,timeFlag,ageAtCD,totalBuilds,nIssuesOfDockerfile,nLinesOfDockerfile,totalCommits,workflow,baseImage
0.9354125,0,432.097,0,1.25,9.75,393,Travis,python
0.95276667,1,489.985,0,0.9091,7.4545,284,Travis,node
0.95334,15,8.7011,0,0,18,28,Travis,alpine
0.95835,13,218.159,0,2,18,211,Travis,haproxy
0.96111667,0,1.9225,0,1.8,6.2,17,Travis,ruby
0.96665,8,0.0026,21,0,8,18,Docker,alpine
0.966675,4,0.0299,0,0,5,26,Travis,alpine-oraclejdk8
0.9667,3,237.925,0,2,5,144,Travis,alpine-node
0.9667,11,311.624,0,1,24,140,Travis,alpine
0.97221667,2,521.417,0,1,10.5,141,Travis,node
0.97273636,6,237.925,0,2,5,144,Travis,alpine-node
0.97858571,17,72.4841,0,0,5,205,Circle,alpine
0.98333333,3,345.606,0,6.7778,18.5556,102,Travis,ubuntu
0.99115882,10,226.105,0,1,9.1818,372,Travis,node
0.99165,9,0.0299,0,1,5,26,Travis,alpine-oraclejdk8
0.99723333,9,72.4841,0,0,5,205,Circle,alpine
1.01111667,13,8.7011,0,0,18,28,Travis,alpine
1.0125,8,226.105,0,1,9.1818,372,Travis,node
1.01296667,0,0.0069,16,3,6.5,11,Docker,alpine-openjdk7
1.013025,11,226.105,0,1,9.1818,372,Travis,node
1.01428571,9,226.105,0,1,9.1818,372,Travis,node
1.01944167,15,3.4829,0,2.625,48.5,222,Circle,base-jdk
1.02142857,0,170.01,0,3.15,21.8,277,Circle,ubuntu
1.02223333,15,72.4841,0,0,5,205,Circle,alpine
1.02476286,11,82.9521,0,2,6,927,Travis,lewis-depends
1.03111333,1,20.9747,0,2,7,69,Circle,alpine
1.0333,0,65.8492,44,2,2,27,Docker,alpine-golang-make-onbuild
1.0333,0,184.718,0,4.4667,22.2333,64,Travis,nginx
1.0333,2,1.1321,0,2.8421,6.4737,82,Circle,python
1.034725,2,0.0009,25,2,4,13,Docker,alpine
1.03689286,0,0.0059,196,1.3333,4,5,Docker,alpine
1.03722333,7,82.9521,0,1,7.5,927,Travis,lewis-depends
1.0436,0,20.8866,0,3,8.3333,64,Circle,alpine
1.04375,3,0.002,189,2,5.1667,8,Docker,mesos-dns
1.04696364,0,0.0009,25,2,4,13,Docker,alpine
1.0479697,1,0.0075,0,1.5,5,85,Travis,scratch
1.05,4,0.002,189,2,5.1667,8,Docker,mesos-dns
1.05834286,4,345.606,0,6.7778,18.5556,102,Travis,ubuntu
1.06336,0,6.7559,0,1.3333,15.6667,69,Travis,openjdk
1.0660931,8,82.9521,0,1,7.5,927,Travis,lewis-depends
1.06665,8,1.1321,0,2.8421,6.4737,82,Circle,python
1.0667,13,0.0004,137,3,3,1,Docker,prometheus
1.06819091,0,27.9165,33,1.5,30.4,38,Docker,alpine-nginx
1.07142857,6,0.0715,27,1,7,12,Docker,mongodb-mms-agent-base
1.074975,18,72.4841,0,0,5,205,Circle,alpine
1.075,14,8.7011,0,0,18,28,Travis,alpine
1.08195417,0,0.0296,31,1,16.6,38,Docker,alpine
1.0833,1,618.774,0,1.7143,14.7143,418,Circle,busybox
