nDockerfileChanges,timeFlag,ageAtCD,totalBuilds,nIssuesOfDockerfile,nLinesOfDockerfile,totalCommits,workflow,baseImage
1,7,265.887,0,4,14.5,47,Circle,core-box
1,2,267.745,0,4.6667,14.3333,181,Circle,core-box
1,4,267.745,0,4,14,181,Circle,core-box
1,4,281.928,0,4,17,126,Circle,core-box
2,9,281.928,0,4,17,126,Circle,core-box
1,16,296.855,0,15,86,141,Travis,baseimage
1,3,314.648,50,3,17,45,Docker,alpine
1,6,314.648,50,3,16,45,Docker,alpine
1,7,314.648,50,3,16,45,Docker,alpine
2,8,314.648,50,3,16,45,Docker,alpine
1,10,314.648,50,3,18,45,Docker,alpine
1,11,314.648,50,3,18,45,Docker,alpine
2,12,314.648,50,3,18,45,Docker,alpine
1,13,314.648,50,3,18,45,Docker,alpine
2,15,314.648,50,3,18,45,Docker,alpine
1,16,314.648,50,3,18,45,Docker,alpine
1,17,314.648,50,3,18,45,Docker,alpine
1,1,345.935,0,1,10.6667,421,Circle,alpine
8,2,349.282,0,2,5,196,Travis,java
1,14,349.282,0,2,6,196,Travis,java
1,11,371.673,0,2,17,56,Travis,alpine
2,15,371.673,0,2,17,56,Travis,alpine
1,20,433.042,0,6,14,823,Travis,golang
1,1,459.855,0,5,16,1083,Travis,litiv-base
1,12,489.985,0,1,11,284,Travis,node
1,3,503.66,0,2,8,159,Travis,openjdk
1,12,503.66,0,1,8,159,Travis,openjdk
1,0,537.457,0,1.6667,2.6667,355,Travis,nginx
3,1,550.778,0,0,8,936,Circle,node
1,0,587.536,60,9.5294,27.1765,21,Docker,debian
3,0,618.774,0,1.7143,14.7143,418,Circle,busybox
1,3,628.195,0,2,4,361,Travis,java
2,5,628.195,0,0.5,4,361,Travis,java
1,2,642.134,0,0.25,5,239,Circle,java
1,4,642.966,0,4,9,387,Travis,jdkydl
3,5,642.966,0,4,9,387,Travis,jdkydl
2,0,644.631,0,0,8.4444,253,Circle,node
1,1,645.817,55,10,41,273,Docker,node
1,2,670.046,0,5,9,85,Circle,ruby
1,13,670.046,0,4,9,85,Circle,ruby
1,6,670.858,0,4,28,710,Circle,baseimage
1,4,672.059,25,0,18,196,Docker,node
1,13,690.974,0,1,2,302,Travis,viws
1,4,708.75,0,2,12,99,Travis,alpine
3,5,717.775,0,0,8,2145,Circle,node
1,7,721.256,0,1,32,4412,Circle,base
2,8,721.256,0,1,32,4412,Circle,base
6,9,734.907,0,1,41,2760,Travis,buildenv
1,7,756.17,0,5,21,1022,Circle,javajsbase
2,0,761.761,0,8.3333,8.8333,436,Travis,golang
5,10,769.139,0,8.75,23,451,Travis,base
1,3,769.393,0,0,3,6476,Travis,pycbc-base-el7
5,8,786.55,0,3.7143,12.8571,2304,Travis,php
2,11,786.55,0,6,21,2304,Travis,php
1,14,786.55,0,6,21,2304,Travis,php
2,1,843.985,0,1,11,1233,Travis,openjdk
2,1,897.147,0,0,10,258,Circle,ruby
1,8,923.619,0,2,17,1350,Travis,alpine-oraclejdk8
3,0,933.12,0,4.6216,8.4865,215,Travis,ubuntu
1,2,938.294,224,2,5,340,Docker,base
1,4,938.294,224,2,5,340,Docker,base
3,5,938.294,224,2.6667,7,340,Docker,base
4,7,938.294,224,2,5,340,Docker,base
2,8,938.294,224,2,5,340,Docker,base
2,13,938.294,224,2.5,12,340,Docker,base
2,14,938.294,224,2.5,12,340,Docker,base
1,16,938.294,224,3.2,11.4,340,Docker,base
1,21,938.294,224,1,4,340,Docker,base
11,31,938.294,224,3.7692,18.7692,340,Docker,base
2,13,1089.4,0,3,20,417,Circle,openjdk
1,11,1271.74,0,7,51,15319,Circle,ubuntu
1,17,1271.74,0,7,51,15319,Circle,ubuntu
2,26,1271.74,0,7,51,15319,Circle,ubuntu
1,29,1271.74,0,7,51,15319,Circle,ubuntu
2,1,1274.53,0,7,20,1684,Travis,ubuntu
6,10,12.8416,0,2,34,442,Circle,alpine
5,0,0.0023,18,1,2,12,Docker,mcollectived
10,0,0.185,0,2.4,5.9,93,Circle,racket
5,3,12.8416,0,10,43,442,Circle,alpine
10,6,23.0597,0,1.5,10,4106,Circle,alpine
5,1,23.8922,0,1,5,323,Travis,openjdk
5,5,1211.31,0,2,25.1667,3186,Circle,python
4,9,0.0171,21,5,18.6,29,Docker,ubuntu
4,1,0.709,0,0,8.8571,48,Circle,node
4,1,0.9345,0,2,18.5,1123,Circle,centos
4,1,7.9905,0,3,8,244,Circle,basebottle
4,3,27.9165,33,1.5,29.25,38,Docker,alpine-nginx
4,4,27.9165,33,1,33.5,38,Docker,alpine-nginx
4,10,92.7464,0,1.6667,17.3333,924,Travis,fpm-nginx
8,5,141.097,262,8.4444,10.6667,515,Docker,python
7,5,0.0032,228,6,16,61,Docker,debian
7,8,22.5866,936,1.1429,13.8571,31,Docker,node
7,0,170.079,0,3.5714,5,240,Travis,node
3,11,0.0051,52,3,20,43,Docker,debian
3,0,1.0073,0,0,1.3333,66,Circle,rails
3,15,1.9021,144,8,23,59,Docker,mercury-depend
3,1,8.0457,0,1.5,7.5,128,Travis,node
6,1,8.1573,26,14.6667,34.7778,31,Docker,java7
3,7,11.2416,47,10,88.5,43,Docker,ubuntu
3,8,13.8373,0,1,12.3333,75,Circle,node
9,1,23.0597,0,2,11,4106,Circle,alpine
6,7,204.008,0,8,17.3333,448,Travis,nginx
3,6,285.101,0,1,3.6667,239,Travis,golang
3,1,387.764,0,0,3,152,Travis,node
3,7,1211.31,0,3,39,3186,Circle,python
3,0,1644.88,0,4.3333,9.8333,509,Travis,debian
11,2,4.1889,0,5.5,7,35,Circle,ubuntu
8,8,2.4295,65,9.7778,17.7778,55,Docker,baseimage
5,2,0.0032,228,6,16,61,Docker,debian
5,20,0.037,81,1,15.4,28,Docker,alpine
5,4,0.1057,152,2,7,22,Docker,mesos
12,3,0.0022,56,0,16,55,Docker,alpine
214,11,526.864,0,0.9091,6.3636,479,Travis,ubuntu
7,9,717.775,0,0,9.25,2145,Circle,node
16,4,124.152,186,1,79,503,Docker,debian
9,1,1.275,31,7,31,27,Docker,ubuntu
2,0,0.0041,122,4.5,3,5,Docker,ubuntu
4,1,0.0058,356,4,17,31,Docker,debian
4,4,0.0076,22,3,11,14,Docker,arch-base
4,2,0.0098,77,8,90.75,79,Docker,php
2,1,0.0319,36,3.5714,18.2857,16,Docker,d-node
2,8,0.04,254,1,61,36,Docker,php
4,7,0.0439,27,1,7,20,Docker,alpine
2,2,0.0489,14,24.5,36,18,Docker,ubuntu
6,1,0.0524,0,18,49.6667,133,Travis,ubuntu
4,6,0.0703,25,18,82.3333,84,Docker,maven
4,2,0.5516,17,1,54,19,Docker,fedora
4,10,0.5561,0,1,77.75,140,Travis,apache-php
2,3,0.7811,32,5,13,24,Docker,ubuntu-perl-phatch
2,13,1.6272,80,1,6,32,Docker,logstash
12,20,2.4295,65,10,18,55,Docker,baseimage
4,1,42.0784,0,1,8.2,71,Circle,golang
4,0,44.7265,0,1,8.7436,1582,Circle,alpine
2,0,110.865,0,1,5.3333,197,Travis,java
2,8,122.77,0,0,5.5,99,Circle,node
2,3,194.171,0,1,2,376,Travis,alpine-java
4,0,202.327,0,0,1.5,242,Travis,python
2,3,286.854,0,2,5,355,Travis,busybox
4,0,341.808,0,0.25,3,50,Circle,scratch
2,1,537.457,0,1.6667,2.6667,355,Travis,nginx
4,9,786.55,0,6,21,2304,Travis,php
11,0,0.0305,18,6,8,18,Docker,node
7,1,0.0014,17,3,8.4,24,Docker,alpine
7,0,0.0341,14,6.9697,42.5758,189,Docker,baseimage
7,5,7.0611,0,1,9.6667,684,Circle,basejava
7,7,9.0212,0,5,50,248,Circle,centos
5,0,2.3135,0,1,3.6,36,Circle,tomcat
5,1,12.9248,0,11.0909,14.1364,121,Travis,java
5,0,36.0031,0,0.5,2.75,36,Travis,node
5,3,222.737,0,2.6667,22.6667,4831,Circle,alpine-java
8,0,0.0282,0,1.5,5.625,24,Travis,alpine
3,0,0.0006,12,1.6667,5,14,Docker,docker-cluster
3,2,0.0007,190,1.5,18.5,14,Docker,haproxy
3,2,0.0034,39,1,28,30,Docker,alpine
3,7,0.0045,11,8,51,11,Docker,php
6,3,0.0549,77,0.3333,3.3333,61,Docker,golang
3,4,4.5204,0,2,12.75,118,Circle,alpine-node
3,11,301.246,0,2,9,1809,Travis,node
15,0,349.282,0,1.8214,5.3571,196,Travis,java
3,5,364.981,0,1,55,723,Travis,ubuntu
3,9,371.673,0,2,18,56,Travis,alpine
6,13,433.042,0,5,10,823,Travis,golang
3,3,642.134,0,0.25,5,239,Circle,java
6,4,717.775,0,0,8.5714,2145,Circle,node
7,9,124.152,186,2.1579,26.8421,503,Docker,debian
4,2,0.0278,0,5,15,20,Travis,python
8,0,5.1926,0,2,4,244,Circle,wildfly
4,0,62.2769,39,3.8182,12.3636,31,Docker,elasticsearch
4,1,82.9521,0,1,5.6,927,Travis,lewis-depends
5,0,0,0,1.3333,4.3333,261,Circle,alpine
5,12,12.8416,0,2,39,442,Circle,alpine
5,19,12.8416,0,2,39.2857,442,Circle,alpine
5,0,23.1293,0,0.8,3.2,157,Circle,java
5,7,786.55,0,4,18,2304,Travis,php
5,11,938.294,224,5,21,340,Docker,base
6,0,0.0299,0,0,3.8333,26,Travis,alpine-oraclejdk8
12,0,7.0062,13,2,7,12,Docker,ruby
13,1,62.2769,39,6.25,15.9167,31,Docker,elasticsearch
8,1,621.278,0,0,7,462,Travis,java
14,5,23.0597,0,2.0417,8.875,4106,Circle,alpine
1,1,0,0,1.3333,4.3333,261,Circle,alpine
1,0,0.0004,137,3,3,1,Docker,prometheus
2,1,0.0012,18,3.4444,5.1111,18,Docker,latex
1,0,0.0016,503,0,2,5,Docker,php
1,1,0.0017,63,7,38.75,17,Docker,baseimage
1,2,0.0025,14,8,36,47,Docker,base-image
1,6,0.003,14,1,12,13,Docker,alpine
1,15,0.0035,243,1,19.6667,27,Docker,alpine
1,1,0.0043,35,1,22,12,Docker,debian
2,4,0.0044,23,6,17,14,Docker,ubuntu
2,1,0.0047,81,5,23,15,Docker,jenkins
2,7,0.0049,12,2,29,12,Docker,ubuntu
4,8,0.005,32,10,23,25,Docker,baseimage
1,1,0.0051,52,19,33.6667,43,Docker,debian
2,4,0.0058,356,3,16,31,Docker,debian
3,2,0.0073,16,10,72,13,Docker,debian
3,1,0.0077,57,6,27.6667,59,Docker,jenkernetes
1,1,0.0083,13,1.5,10,7,Docker,node
2,5,0.0112,16,4,9.5,18,Docker,jenkins
6,8,0.0131,207,3,18,39,Docker,openjdk
4,0,0.0139,13,5.8333,5,14,Docker,ubuntu
1,6,0.0164,108,1,11,16,Docker,alpine
2,16,0.0164,108,1,13,16,Docker,alpine
1,4,0.0171,21,5,16,29,Docker,ubuntu
1,4,0.0171,12,1,22,9,Docker,alpine
1,0,0.028,48,1,2,65,Docker,mu-ruby-template
2,14,0.028,48,1,3,65,Docker,mu-ruby-template
1,3,0.0296,31,1,18,38,Docker,alpine
1,9,0.0319,36,9,26,16,Docker,d-node
1,5,0.0356,16,1,10,8,Docker,alpine
2,5,0.0356,14,2,14.5,10,Docker,crcbase
2,10,0.0386,69,1,9.5,34,Docker,baseimage
6,3,0.04,254,1,53,36,Docker,php
2,4,0.0595,0,1,7,135,Circle,node
4,0,0.084,11,0.2,3.8,5,Docker,influxdb
4,1,0.1137,0,4,28,46,Travis,ubuntu
1,4,0.1352,245,7.8,25.2,44,Docker,golang
2,11,0.1731,0,1,35,95,Circle,debian
1,1,0.2842,50,3,10,134,Docker,debian
4,3,0.3279,21,1.8333,3,17,Docker,busybox
3,0,0.3592,11,1,5.6667,25,Docker,python
2,2,0.4726,0,7,24,42,Travis,chrome-headless-browser
1,1,0.9189,18,3.4,28.6,13,Docker,alpine
2,4,0.9345,0,2,20,1123,Circle,centos
1,1,1.0056,29,15.6429,52.8571,54,Docker,ubuntu
2,6,2.1497,0,4,15,47,Circle,core-box
8,13,3.4829,0,3,45,222,Circle,base-jdk
1,4,3.7266,22,5,22.2,14,Docker,php
7,1,4.1889,0,5.5,7,35,Circle,ubuntu
1,6,5.0292,79,4,13,42,Docker,centos
2,18,5.0872,14,9,41,18,Docker,apache2-php7
2,8,6.9593,0,1,2,232,Circle,nginx
2,9,7.6219,0,50,92,174,Circle,ubuntu
3,2,7.9905,0,3,8,244,Circle,basebottle
2,2,8.0457,0,1.5,7.5,128,Travis,node
8,3,11.2416,47,10,82.5,43,Docker,ubuntu
1,1,13.8249,22,5,24,48,Docker,ubuntu
2,14,14.1239,97,5,23,27,Docker,atlassian-docker
3,4,14.898,0,6,13,164,Travis,golang
1,4,17.0443,0,9,14.6667,70,Circle,ubuntu
2,0,17.2326,0,0,8.3333,26,Circle,golang
2,15,20.8866,0,3,10,64,Circle,alpine
1,1,22.912,22,2.0769,10.0769,30,Docker,python
12,8,23.0597,0,2.1429,7.8571,4106,Circle,alpine
6,21,23.0597,0,3.4,16.6,4106,Circle,alpine
2,0,28.0398,0,1.3333,5,91,Circle,alpine
2,2,29.172,11,2,10,12,Docker,claw-base
3,0,42.7462,0,3,10.3333,89,Travis,python
2,0,50.2294,0,0,3,86,Travis,python
3,6,52.0142,78,2.5,31,62,Docker,alpine
3,0,63.9709,0,3,5,84,Travis,nginx
1,6,92.7464,0,1,28.3333,924,Travis,fpm-nginx
1,11,97.8665,0,0,22,52,Circle,alpine
5,23,141.097,262,12,26.2,515,Docker,python
2,5,151.209,27,10,45,171,Docker,ubuntu
4,3,160.07,0,1.5,9.5,562,Travis,node
6,9,184.718,0,5,31,64,Travis,nginx
1,10,194.171,0,1,7,376,Travis,alpine-java
1,7,200.918,0,2,46,180,Circle,alpine
2,2,200.961,0,4,16,762,Circle,alpine-glibc
2,8,200.961,0,3,15,762,Circle,alpine-glibc
2,2,218.159,0,2,18,211,Travis,haproxy
2,4,218.159,0,2,18,211,Travis,haproxy
1,1,235.081,0,8,9,208,Circle,alpine
9,15,235.081,0,5.4444,13.7778,208,Circle,alpine
3,0,262.027,0,0,6.6,819,Travis,java
1,4,311.624,0,1,24,140,Travis,alpine
2,0,314.648,50,3,9,45,Docker,alpine
2,9,314.648,50,3,18,45,Docker,alpine
2,1,345.606,0,6.7778,18.5556,102,Travis,ubuntu
1,4,371.673,0,2,18,56,Travis,alpine
1,0,432.097,0,1.25,9.75,393,Travis,python
1,10,450.449,0,3,6,169,Travis,alpine-java
2,2,458.166,0,1,2,1837,Circle,meteor-base
3,3,493.228,0,10,19,266,Circle,meteor-base
2,4,493.228,0,10,19,266,Circle,meteor-base
1,5,535.883,0,9,8,534,Circle,cymetric-deps
1,6,535.883,0,9,8,534,Circle,cymetric-deps
2,8,550.778,0,0,10,936,Circle,node
1,0,686.942,0,2,3,117,Travis,nginx
2,1,708.75,0,2,12,99,Travis,alpine
2,9,721.256,0,1,32,4412,Circle,base
4,0,755.805,0,0,7.75,185,Circle,python
2,0,769.393,0,0,3,6476,Travis,pycbc-base-el7
4,1,903.901,0,0,10,3820,Circle,node
1,2,903.901,0,0,10,3820,Circle,node
4,18,1277.01,0,4,32,6221,Circle,cyclus-deps
22,20,141.097,262,12,23,515,Docker,python
18,0,2.7825,0,0.1111,15.7778,51,Travis,python
16,0,642.966,0,3.7692,9.2308,387,Travis,jdkydl
20,0,0.7054,299,1.8,7.2,22,Docker,wordpress
17,0,656.702,0,1,4.2881,802,Travis,java
8,0,3.7488,13,2,12.4444,36,Docker,sonarqube
7,0,0.3279,21,1.8571,3.1429,17,Docker,busybox
5,7,0.0129,74,5,21,112,Docker,ubuntu
5,6,0.2842,50,7.4,16.6,134,Docker,debian
5,6,0.4726,0,6.8,28.4,42,Travis,chrome-headless-browser
5,3,2.4295,65,9,16,55,Docker,baseimage
5,1,4.3663,0,3.125,7.875,134,Travis,mono
5,0,7.3738,0,1,7,227,Travis,node
5,0,87.0817,0,1,7,51,Travis,rust
5,1,644.631,0,0,9,253,Circle,node
8,7,0.0014,848,3.5,24.625,30,Docker,php
8,9,0.0376,31,4.625,37.125,26,Docker,ubuntu
4,0,0.099,0,1,4,13,Travis,archlinux
4,1,0.3458,41,3,7.3333,19,Docker,spark-base
4,3,3.7266,22,5,22.2,14,Docker,php
4,0,17.0443,0,9,11.5,70,Circle,ubuntu
7,0,0.0464,0,2.7143,8.7143,43,Circle,alpine
7,8,0.0773,296,6,24,226,Docker,debian-debootstrap
7,4,76.6853,14,1.1111,8.5556,46,Docker,dockergui
3,0,0.0009,0,3,5.75,65,Circle,basebox
3,2,0.0069,16,3,7,11,Docker,alpine-openjdk7
3,2,0.0071,17,1,19,11,Docker,java
9,0,0.0145,15,2.6667,8.6667,16,Docker,jenkins-docker
3,13,0.037,81,0.6667,15,28,Docker,alpine
3,7,0.0638,182,4,19,49,Docker,baseimage-oraclejdk
3,11,0.0855,173,1,21,48,Docker,alpine-glibc
3,0,0.1559,0,2,4,55,Circle,alpine
3,6,0.5561,0,1,67.3333,140,Travis,apache-php
3,9,3.7488,13,2,14,36,Docker,sonarqube
6,5,29.8851,0,0,6,102,Circle,busybox
3,15,68.9188,87,17,40,69,Docker,baseimage
3,2,301.246,0,2,8.6667,1809,Travis,node
3,11,1211.31,0,2.4286,37.2857,3186,Circle,python
8,6,27.9165,33,1,32.875,38,Docker,alpine-nginx
8,1,54.1992,0,0.8571,6.7143,272,Circle,parkmap
5,6,0.1314,20,7,17,18,Docker,jnlp-slave
5,3,0.9345,0,2,20.4286,1123,Circle,centos
15,0,11.1153,0,1,5.6667,57,Travis,golang
5,1,23.1062,143,1,35,239,Docker,ubuntu
10,1,51.7653,0,7.1111,49.4444,40,Circle,ubuntu
5,7,124.152,186,1,78.8,503,Docker,debian
5,0,690.974,0,1,5.8,302,Travis,viws
5,20,1277.01,0,1,4.4,6221,Circle,cyclus-deps
7,0,0.0041,295,1,5.5,58,Docker,kgs
7,2,0.0077,57,7,27,59,Docker,jenkernetes
13,6,0.0068,346,1.0769,7.3077,17,Docker,node
2,1,0.001,173,5.6667,15.5,27,Docker,debian
4,4,0.0022,56,0,14.6667,55,Docker,alpine
2,7,0.0022,56,1,23,55,Docker,alpine
4,0,0.0023,21,1,6,8,Docker,node
2,1,0.0028,27,2,6,10,Docker,alpine
2,0,0.0059,196,1.3333,4,5,Docker,alpine
2,9,0.0073,16,10,71.5,13,Docker,debian
2,1,0.009,267,3.1538,29.4615,24,Docker,ubuntu
2,7,0.0098,176,4.5,4,4,Docker,jenkins
4,1,0.0163,17,5,34,11,Docker,alpine
4,13,0.028,48,1,2,65,Docker,mu-ruby-template
4,4,0.0638,182,3.4,19,49,Docker,baseimage-oraclejdk
8,0,0.5106,0,2.375,7.75,40,Travis,nimgram-base
6,13,1.0056,29,1,73.6667,54,Docker,ubuntu
2,1,4.4008,0,3.5,26,100,Travis,debian
2,2,7.7354,0,1,31.5,48,Travis,alpine
4,2,12.8416,0,9.3333,43.3333,442,Circle,alpine
8,0,16.2142,347,4.5556,5.1111,32,Docker,nginx
4,9,23.0597,0,3,10,4106,Circle,alpine
2,0,23.9849,39,2,4.5,49,Docker,golang
2,4,29.3739,0,2,20.5,1289,Circle,centos
2,0,33.9518,0,2,5,98,Circle,node
4,11,64.9491,0,1,38,1606,Circle,ubuntu
2,13,83.0324,0,0,7.5,88,Circle,node
7,0,0.0012,18,3.4444,5.1111,18,Docker,latex
7,9,0.0056,22,1,22.2857,29,Docker,zulu-openjdk
7,1,0.0595,0,2,7.2,135,Circle,node
10,0,0.0008,0,7.9,15,401,Circle,docker-perl-app-base
5,0,378.032,41,0.25,7,42,Docker,docker
8,1,513.509,0,1.1111,4.7778,151,Travis,java
3,4,0.185,0,2.6667,7,93,Circle,racket
3,17,52.0142,78,2.5,31,62,Docker,alpine
3,6,124.152,186,1,78.8,503,Docker,debian
6,13,141.097,262,9,12.6667,515,Docker,python
3,3,296.855,0,6.8333,29.8333,141,Travis,baseimage
3,5,500.114,0,9,32,173,Travis,python
6,1,863.18,0,26,68.9333,1278,Travis,base
25,3,218.499,0,1,12.52,269,Circle,verse
4,1,0.0032,228,5.25,14.5,61,Docker,debian
4,1,0.0464,30,9,36,13,Docker,php
4,0,0.0537,141,2,9,29,Docker,oracle-jdk
4,0,1.6272,80,0.5,3.75,32,Docker,logstash
8,9,315.801,0,1,23.875,78,Travis,alpine
5,0,0.0019,31,10.7143,14.7143,34,Docker,ubuntu
5,2,0.0036,79,6,25,60,Docker,debian
5,0,0.0549,77,1,6,61,Docker,golang
5,0,1.9225,0,1.8,6.2,17,Travis,ruby
6,0,0.002,189,2,5.1667,8,Docker,mesos-dns
6,0,54.1992,0,0.8571,6.7143,272,Circle,parkmap
18,0,111.732,0,1,4.7778,69,Travis,scratch
12,6,0.0051,52,20.7692,36.9231,43,Docker,debian
1,4,0,0,2,5,261,Circle,alpine
1,2,0,259,4,24,11,Docker,alpine
1,10,0,259,2,18,11,Docker,alpine
1,21,0,259,2,22,11,Docker,alpine
1,5,0.0011,297,5,17,8,Docker,ubuntu
7,4,0.0012,18,3,8.8571,18,Docker,latex
1,0,0.0013,73,0,3,1,Docker,ruby
1,5,0.0017,60,5,41,32,Docker,ubuntu
1,6,0.0017,63,9,38,17,Docker,baseimage
1,1,0.0019,0,4,8.8,15,Circle,java
1,6,0.0022,56,1,22,55,Docker,alpine
1,9,0.0022,17,7,40,28,Docker,ubuntu
1,12,0.0023,18,0,2,12,Docker,mcollectived
2,6,0.0026,21,0,8,18,Docker,alpine
1,6,0.0032,24,6,16,21,Docker,centos
1,10,0.0032,24,6,16,21,Docker,centos
1,5,0.0035,15,2,11,10,Docker,jnlp-slave
1,6,0.0035,243,1,11,27,Docker,alpine
4,6,0.0037,48,1,13.6,13,Docker,alpine
1,2,0.0039,35,1,35,16,Docker,alpine
1,7,0.0041,11,4,10,4,Docker,debian
1,6,0.0044,23,6,17,14,Docker,ubuntu
1,7,0.0044,23,6,17,14,Docker,ubuntu
11,1,0.0045,32,4,19,89,Docker,alpine
1,2,0.0045,11,8,51,11,Docker,php
2,3,0.0051,52,19,33,43,Docker,debian
1,7,0.0051,52,20.7692,36.9231,43,Docker,debian
1,3,0.0058,356,3,16,31,Docker,debian
1,0,0.0068,346,0,3,17,Docker,node
1,8,0.0071,17,1,19,11,Docker,java
6,6,0.0085,139,5,67.5,30,Docker,centos
1,18,0.0085,160,3,36,15,Docker,alpine
2,0,0.0097,48,2,3,54,Docker,cedarish
1,0,0.0098,176,6,4,4,Docker,jenkins
1,3,0.0112,14,5,9,15,Docker,node
1,3,0.0114,35,6,47,10,Docker,systemuser
1,11,0.0129,74,5,21,112,Docker,ubuntu
1,12,0.0129,74,5,21,112,Docker,ubuntu
1,13,0.0129,74,5,21,112,Docker,ubuntu
1,14,0.0129,74,5,21,112,Docker,ubuntu
3,15,0.0129,74,5,21,112,Docker,ubuntu
1,16,0.0129,74,5,21,112,Docker,ubuntu
1,2,0.0151,13,5,41,10,Docker,debian
2,1,0.0163,11,5,17,5,Docker,ubuntu
1,7,0.0171,21,5,18,29,Docker,ubuntu
2,10,0.0171,21,5,22,29,Docker,ubuntu
1,0,0.0188,377,2,4,1,Docker,debian
1,3,0.0208,19,6,22,2,Docker,server-jre-8
1,3,0.023,22,6,17,50,Docker,ubuntu
1,9,0.023,22,6,17,50,Docker,ubuntu
1,4,0.0253,12,2,11,8,Docker,alpine
1,8,0.0272,19,2,9,4,Docker,centos
2,22,0.0424,15,0,10,9,Docker,centos
1,0,0.0431,19,1,3,24,Docker,python
1,3,0.0464,30,9,36,13,Docker,php
4,0,0.0558,18,3.5,5,10,Docker,taiga-back
1,3,0.0595,0,2,7,135,Circle,node
1,1,0.0715,27,5,11,12,Docker,mongodb-mms-agent-base
1,1,0.0878,59,3.5,10.5,12,Docker,mirakurun
2,3,0.1057,152,2,7,22,Docker,mesos
1,7,0.1057,152,2,7,22,Docker,mesos
1,3,0.1092,19,5,11,18,Docker,nginx
1,4,0.1092,19,5,11,18,Docker,nginx
1,5,0.1092,19,5,11,18,Docker,nginx
1,8,0.1092,19,5,11,18,Docker,nginx
1,10,0.1092,19,5,11,18,Docker,nginx
1,12,0.1232,0,3,5.5,194,Circle,nginx
1,8,0.1349,28,1,67,25,Docker,base
1,9,0.1349,28,1,67,25,Docker,base
1,0,0.1622,804,4,3,3,Docker,nodejs-bower-grunt
1,11,0.1751,330,10,11,4,Docker,nginx
2,5,0.5561,0,1,60.6667,140,Travis,apache-php
1,1,0.5667,112,3.6667,17.3333,11,Docker,alpine
2,2,0.7945,11,12,28,13,Docker,alpine
1,2,0.8582,12,5.5,51,16,Docker,nginx-18-centos7
2,18,0.8629,25,1,13,36,Docker,perl-golang
4,15,1.0056,29,1,73.8333,54,Docker,ubuntu
3,28,1.0056,29,1,76,54,Docker,ubuntu
1,0,1.1463,0,1,4,52,Circle,wildfly
1,3,1.2384,29,1,9,15,Docker,java
1,3,2.1497,0,4,15,47,Circle,core-box
3,10,3.4829,0,3.6667,41.3333,222,Circle,base-jdk
1,11,4.5204,0,1,15,118,Circle,alpine-node
1,12,4.5204,0,1,15,118,Circle,alpine-node
1,12,5.0292,79,3,11,42,Docker,centos
1,0,5.5451,0,1,4,110,Travis,java
7,10,7.6219,0,48.5714,89.5714,174,Circle,ubuntu
4,0,8.0457,0,0.7143,4.8571,128,Travis,node
3,8,9.0212,0,5,50,248,Circle,centos
5,3,14.0272,19,1,35.2857,61,Docker,ubuntu
1,0,17.0168,35,1.6667,13.2381,49,Docker,nginx
2,3,17.0443,0,9,14.6667,70,Circle,ubuntu
1,0,18.5043,19,11,29.5,27,Docker,ubuntu
7,0,29.3739,0,3,5.7143,1289,Circle,centos
2,2,31.9798,36,4,33,42,Docker,centos
4,11,34.8089,48,2.5,18,22,Docker,node
4,3,36.036,0,0,4,1208,Circle,alpine
1,0,37.405,0,2,4,47,Circle,busybox
2,5,52.0142,78,2.5,31,62,Docker,alpine
1,10,52.0142,78,2.5,31,62,Docker,alpine
2,2,62.9529,0,3,17,166,Circle,python
5,3,68.9188,87,10.7143,30.2857,69,Docker,baseimage
4,9,68.9188,87,6,23.5,69,Docker,baseimage
1,16,71.8883,0,1,70,285,Circle,fedora
3,1,73.0325,0,2,4.4,577,Travis,nginx
1,7,76.6853,14,1,9,46,Docker,dockergui
1,8,79.9721,0,2,4,126,Travis,golang
1,9,79.9721,0,2,4,126,Travis,golang
6,3,82.9521,0,1,8,927,Travis,lewis-depends
1,6,95.0106,31,1,12,65,Docker,alpine
1,1,97.8665,0,0,18,52,Circle,alpine
1,3,97.8665,0,0,18,52,Circle,alpine
2,10,97.8665,0,0,22,52,Circle,alpine
3,17,97.8665,0,0,40.3333,52,Circle,alpine
2,14,98.0739,0,4,19,55,Circle,node
1,1,123.587,0,1,3,77,Circle,nginx
1,9,151.209,27,10,45,171,Docker,ubuntu
2,0,170.01,0,3.15,21.8,277,Circle,ubuntu
7,10,182.067,0,0,11.1429,893,Circle,node
1,0,194.171,0,2,5.3333,376,Travis,alpine-java
2,0,218.159,0,4.5833,14.6667,211,Travis,haproxy
1,3,219.294,0,3.5,18.5,162,Circle,core-box
2,2,220.475,0,2,3,609,Circle,meteor-base
2,3,353.155,110,7,6,489,Docker,anaconda
1,3,371.673,0,3,19,56,Travis,alpine
1,5,371.673,0,2,18,56,Travis,alpine
2,0,387.764,0,0,3,152,Travis,node
1,12,433.042,0,5,10,823,Travis,golang
2,18,433.042,0,3,50,823,Travis,golang
3,0,434.822,0,2,3,162,Circle,nginx
1,0,489.985,0,0.9091,7.4545,284,Travis,node
1,0,491.425,0,0,10,164,Circle,node
1,2,500.026,0,16,32,85,Circle,diaspora-docker
1,6,500.026,0,8,20,85,Circle,diaspora-docker
6,16,535.883,0,2.2,2.8,534,Circle,cymetric-deps
