nDockerfileChanges,timeFlag,ageAtCD,totalBuilds,nIssuesOfDockerfile,nLinesOfDockerfile,totalCommits,workflow,baseImage
6,0,19.886,29,3.7778,25.6667,44,Docker,ubuntu-16-nginx-php-phpmyadmin
8,2,786.55,0,12,23,2304,Travis,php
1,6,0,0,7,19,125,Circle,build
2,5,0,0,2,5,261,Circle,alpine
1,8,0,0,2,5,261,Circle,alpine
2,9,0,0,1.4,6.4,261,Circle,alpine
3,1,0.0004,31,3,14,12,Docker,node
1,5,0.0007,26,8,19,32,Docker,ubuntu
1,8,0.0007,26,8,19,32,Docker,ubuntu
1,11,0.0007,26,8,19,32,Docker,ubuntu
2,17,0.0007,26,8,19,32,Docker,ubuntu
1,23,0.0007,26,8,19,32,Docker,ubuntu
1,1,0.0009,0,3,5.75,65,Circle,basebox
1,10,0.001,11,2,13,4,Docker,alpine
1,1,0.0011,297,5,17,8,Docker,ubuntu
2,16,0.0011,297,5,17,8,Docker,ubuntu
1,22,0.0011,297,5,17,8,Docker,ubuntu
1,24,0.0011,297,5,17,8,Docker,ubuntu
2,1,0.0013,306,5.5,14.5,8,Docker,ubuntu
1,2,0.0013,306,4,14.5,8,Docker,ubuntu
2,13,0.0014,17,3,11,24,Docker,alpine
1,14,0.0014,848,3,23,30,Docker,php
2,14,0.0014,17,1,9,24,Docker,alpine
2,27,0.0014,17,1,9,24,Docker,alpine
1,33,0.0014,17,1,9,24,Docker,alpine
1,0,0.0017,340,2,8.25,14,Docker,debian
1,4,0.0017,60,5,39,32,Docker,ubuntu
1,6,0.0017,60,5,41,32,Docker,ubuntu
1,10,0.0017,63,9,38,17,Docker,baseimage
1,10,0.0017,60,5.5,55.5,32,Docker,ubuntu
1,12,0.0018,162,3,7,9,Docker,systemd
1,0,0.0019,30,2.3333,8,73,Docker,arch-mini
1,1,0.0019,30,2,6,73,Docker,arch-mini
4,9,0.0019,0,4,10,15,Circle,java
2,1,0.002,0,17.0909,56.1818,51,Travis,ubuntu
1,4,0.002,0,25,81,51,Travis,ubuntu
1,9,0.002,111,3,7,5,Docker,ubuntu
2,13,0.002,111,3,8.5,5,Docker,ubuntu
1,1,0.0021,161,14,27,19,Docker,debian
1,2,0.0021,161,14,27,19,Docker,debian
2,4,0.0021,161,14,27,19,Docker,debian
1,6,0.0021,161,14,27,19,Docker,debian
1,10,0.0021,161,14,27,19,Docker,debian
3,14,0.0021,161,14,27,19,Docker,debian
2,8,0.0022,17,7,40,28,Docker,ubuntu
3,8,0.0022,56,1,23,55,Docker,alpine
2,1,0.0023,21,1,6,8,Docker,node
4,3,0.0023,18,1,2.5,12,Docker,mcollectived
4,6,0.0023,46,8,71,17,Docker,base
1,16,0.0023,18,0,2,12,Docker,mcollectived
2,1,0.0024,986,1,4,10,Docker,opensuse
1,5,0.0024,768,17,19,15,Docker,python
1,12,0.0024,18,1,76,25,Docker,ubuntu
1,1,0.0025,14,8,36,47,Docker,base-image
2,9,0.0026,21,0,8,18,Docker,alpine
2,1,0.0032,0,2.4762,5.9524,89,Circle,hub-runtime
4,3,0.0032,228,6,16,61,Docker,debian
1,4,0.0032,228,6,16,61,Docker,debian
4,6,0.0032,228,6,16,61,Docker,debian
5,7,0.0032,228,6,16,61,Docker,debian
5,8,0.0032,228,6,16,61,Docker,debian
4,9,0.0032,228,6,16,61,Docker,debian
4,10,0.0032,228,6,16,61,Docker,debian
5,11,0.0032,228,6,16,61,Docker,debian
1,12,0.0032,228,6,16,61,Docker,debian
1,2,0.0033,27,7,27,18,Docker,ubuntu
1,3,0.0034,39,1,28,30,Docker,alpine
1,8,0.0034,39,2,30,30,Docker,alpine
1,11,0.0034,39,2,30,30,Docker,alpine
1,14,0.0034,39,2,32,30,Docker,alpine
1,16,0.0034,39,2,32,30,Docker,alpine
3,8,0.0035,243,1,11,27,Docker,alpine
1,7,0.0036,103,2,17,105,Docker,alpine
2,12,0.0036,103,2,17,105,Docker,alpine
1,5,0.0038,16,3,14,11,Docker,centos
1,6,0.0038,16,3,14,11,Docker,centos
1,12,0.0039,78,4,6,8,Docker,openjdk
2,13,0.0039,78,4,6,8,Docker,openjdk
1,16,0.0039,78,4,6,8,Docker,openjdk
1,1,0.0041,295,1,5.5,58,Docker,kgs
2,3,0.0041,122,4,3,5,Docker,ubuntu
2,4,0.0041,295,1,8,58,Docker,kgs
1,4,0.0041,11,4,10,4,Docker,debian
1,6,0.0041,295,1,8,58,Docker,kgs
1,12,0.0041,11,4,10,4,Docker,debian
1,4,0.0047,81,5,31,15,Docker,jenkins
1,3,0.0048,12,1,26,7,Docker,atlassian-base
1,1,0.005,11,6,22,4,Docker,keycloak
1,1,0.005,32,10,23,25,Docker,baseimage
1,2,0.005,11,6,22,4,Docker,keycloak
2,10,0.005,32,10,23,25,Docker,baseimage
1,13,0.005,32,10,23,25,Docker,baseimage
1,6,0.0052,19,1,8,10,Docker,baseimage
2,11,0.0053,84,11,44,12,Docker,docker-bitrise-base
2,0,0.0055,93,4,8,14,Docker,fast-data-dev
1,1,0.0055,18,10.4615,37.7692,16,Docker,distributed
2,1,0.0057,0,3,16,41,Circle,debian
1,2,0.0057,0,3,16,41,Circle,debian
1,5,0.0058,133,4,7,2,Docker,ubuntu
1,7,0.0058,356,2,15,31,Docker,debian
1,0,0.0064,111,0,2,4,Docker,rabbitmq
1,6,0.0073,16,10,72,13,Docker,debian
1,12,0.0073,16,10,72,13,Docker,debian
1,0,0.0083,243,1,2,2,Docker,node
1,3,0.0083,13,6,22.3333,7,Docker,node
1,5,0.0085,160,3,13,15,Docker,alpine
1,7,0.0085,160,3,13,15,Docker,alpine
1,25,0.0085,160,2,36,15,Docker,alpine
4,7,0.0086,0,11,19,852,Circle,docker-perl-app-base
3,7,0.0097,26,11,27.4286,31,Docker,ubuntu
2,24,0.0097,48,1.5,3,54,Docker,cedarish
1,28,0.0097,48,1,3,54,Docker,cedarish
1,13,0.011,13,1,7,15,Docker,centos
1,2,0.0114,35,6,47,10,Docker,systemuser
1,2,0.0121,16,6,10.5,5,Docker,baseimage
2,4,0.0129,74,6,20,112,Docker,ubuntu
1,8,0.0129,74,5,21,112,Docker,ubuntu
1,9,0.0129,74,5,21,112,Docker,ubuntu
1,10,0.0129,74,5,21,112,Docker,ubuntu
3,2,0.0131,207,1,15,39,Docker,openjdk
3,5,0.0131,207,1,14,39,Docker,openjdk
1,3,0.0132,151,1,14,11,Docker,centos
5,0,0.0133,0,1,3,158,Circle,jessy
2,1,0.0139,13,5.8333,5,14,Docker,ubuntu
