nErrorBuild,timeFlag,ageAtCD,totalBuilds,nIssuesOfDockerfile,nLinesOfDockerfile,totalCommits,workflow,baseImage
2,0,0.0299,0,0,3.8333,26,Travis,alpine-oraclejdk8
17,0,0.0305,29,1,25.25,31,Docker,debian
5,0,0.0305,18,6,8,18,Docker,node
1,0,0.0313,30,3.0339,11.9153,96,Docker,elasticsearch
2,0,0.0319,36,3.5714,18.2857,16,Docker,d-node
27,0,0.0322,0,1,12.6667,69,Circle,alpine
2,0,0.0341,14,6.9697,42.5758,189,Docker,baseimage
1,0,0.0356,14,1,24.3333,10,Docker,crcbase
2,0,0.037,41,4.25,25.75,37,Docker,java
1,0,0.0381,16,7.5,25.5,4,Docker,docker-jenkins-centos-base
9,0,0.0393,0,1.5,2.5,31,Travis,nginx
3,0,0.0404,207,8.6364,56,26,Docker,cuda
1,0,0.0411,88,2,6,3,Docker,frankenlibc
3,0,0.0439,21,13,46.25,34,Docker,debian
14,0,0.0451,38,1,35.75,40,Docker,ubuntu
4,0,0.0464,30,6.8,32.2,13,Docker,php
19,0,0.0464,0,2.7143,8.7143,43,Circle,alpine
3,0,0.0472,14,0.7333,16.2667,10,Docker,ubuntu-ruby
3,0,0.0477,13,2,14,15,Docker,golang
1,0,0.0489,14,19.0714,31.8571,18,Docker,ubuntu
6,0,0.0514,0,0,14,25,Circle,debian
3,0,0.0516,354,1,21.5,2,Docker,php
21,0,0.0524,0,17.0714,46.2857,133,Travis,ubuntu
1,0,0.0537,141,2,9,29,Docker,oracle-jdk
24,0,0.0545,0,5.5385,37.3077,30,Circle,ubuntu
2,0,0.0549,77,1,6,61,Docker,golang
10,0,0.0552,0,4.8889,11.3333,100,Circle,ubuntu
1,0,0.0561,0,1,115.5,12,Travis,php
1,0,0.0574,39,1,17.5,9,Docker,ssh-hpn-x
2,0,0.0582,17,1,18.3333,14,Docker,ubuntu-base
24,0,0.0595,0,2.8571,5.7143,135,Circle,node
2,0,0.0638,182,4,17.3333,49,Docker,baseimage-oraclejdk
12,0,0.0649,82,3,7.6667,9,Docker,alpine
3,0,0.0655,21,5.125,16.625,15,Docker,centos
8,0,0.0753,0,2,5,46,Travis,python
6,0,0.0773,296,32.9636,82.9818,226,Docker,debian-debootstrap
5,0,0.0786,0,5,6,44,Travis,fedora
17,0,0.0813,0,9.875,28.25,44,Travis,php
6,0,0.0832,39,24.7778,43.2222,55,Docker,ubuntu
4,0,0.0855,173,1,15.1875,48,Docker,alpine-glibc
3,0,0.0898,0,0,9.3333,41,Travis,openjdk
2,0,0.0963,0,1,7,21,Circle,golang
24,0,0.0965,0,2.0625,9,85,Circle,centos
1,0,0.099,0,1,4,13,Travis,archlinux
3,0,0.1,13,1,5,18,Docker,dind
6,0,0.1,0,2,9,3,Travis,devel
21,0,0.1013,0,6.8718,28.5641,49,Circle,ubuntu
16,0,0.1041,0,22.2857,27.8571,46,Circle,ubuntu
2,0,0.1057,152,3,7,22,Docker,mesos
2,0,0.1137,0,4,28,46,Travis,ubuntu
12,0,0.1222,33,3,7,11,Docker,nginx
8,0,0.1232,0,4,8,194,Circle,nginx
9,0,0.1307,0,1.25,6.75,34,Circle,result-processing
4,0,0.1314,20,2.875,11,18,Docker,jnlp-slave
2,0,0.1349,28,1,52.2,25,Docker,base
4,0,0.1352,245,8.4286,22.7143,44,Docker,golang
26,0,0.139,0,2.4615,11.0769,14,Travis,alpine
18,0,0.1468,0,5.6154,10.1538,40,Circle,nginx
1,0,0.1493,152,4,9.6667,4,Docker,java
6,0,0.159,0,3,7,80,Circle,alpine
1,0,0.1637,12,3.3333,17.3333,13,Docker,jenkins
21,0,0.1731,0,1,25.75,95,Circle,debian
22,0,0.1732,229,5.0588,27.6765,44,Docker,baseimage
26,0,0.185,0,2.4,5.9,93,Circle,racket
1,0,0.1948,11,5,7,1,Docker,ubuntu
17,0,0.1996,0,7.5517,23.7586,447,Circle,passenger-ruby21
2,0,0.2242,16,0,2,17,Docker,node
6,0,0.2264,0,6.1875,37.5625,49,Travis,ubuntu
6,0,0.2394,0,12.2368,14.5263,161,Circle,ubuntu-server
15,0,0.2842,50,4.44,21.66,134,Docker,debian
17,0,0.3114,0,2.5,16,91,Circle,debian
1,0,0.3279,21,1.8571,3.1429,17,Docker,busybox
3,0,0.3536,0,7,19.3333,32,Travis,ruby
3,0,0.3802,25,0.125,14.875,9,Docker,alpine
5,0,0.4417,0,1,5,57,Travis,java
3,0,0.4616,56,1.5556,6.3333,13,Docker,nand2tetris
5,0,0.4726,0,5.5,24.25,42,Travis,chrome-headless-browser
5,0,0.489,21,2,39.3333,29,Docker,java
16,0,0.5106,0,2.375,7.75,40,Travis,nimgram-base
1,0,0.5516,17,1,54,19,Docker,fedora
2,0,0.555,0,2,17,28,Travis,rpi-alpine
2,0,0.5867,57,2,12.3333,27,Docker,python3
4,0,0.7054,299,1.8,7.2,22,Docker,wordpress
4,0,0.709,0,0,8.8571,48,Circle,node
1,0,0.7498,0,9.1818,26.1818,32,Travis,ubuntu
3,0,0.7568,0,2.8,17.8,134,Circle,debian
18,0,0.7614,0,0,4.8333,43,Circle,java
2,0,0.7811,32,2,11.5,24,Docker,ubuntu-perl-phatch
2,0,0.787,26,2,10,2,Docker,elixir
1,0,0.7877,12,7.1111,35.3333,18,Docker,baseimage
2,0,0.8098,26,0.7143,10.1429,26,Docker,golang
2,0,0.8629,25,3.3333,15.3333,36,Docker,perl-golang
12,0,0.8822,0,2,7,57,Circle,nodejs
2,0,0.9189,18,3.4,28.6,13,Docker,alpine
7,0,0.9334,23,0,9,23,Docker,elasticsearch
7,0,0.9339,77,3.7778,15.6667,102,Docker,rai
5,0,0.9345,0,2,20,1123,Circle,centos
12,0,0.9963,0,1,5,40,Circle,scratch
5,0,1.0026,0,3,18.8333,16,Travis,rpi-node
23,0,1.0073,0,0,1.3333,66,Circle,rails
46,0,1.0076,0,2.5714,14.0714,95,Circle,jessy
2,0,1.0262,14,2.625,12.625,9,Docker,java-centos
7,0,1.0491,0,1,6,34,Circle,node
106,0,1.0685,0,2.1591,13.1136,181,Circle,centos
36,0,1.1321,0,2.8421,6.4737,82,Circle,python
43,0,1.1459,0,6.0909,28.1091,131,Travis,centos
17,0,1.1463,0,1,4,52,Circle,wildfly
61,0,1.1489,79,2.8,9.4,193,Docker,alpine-python
14,0,1.1784,0,6.875,20.375,110,Circle,ubuntu
17,0,1.266,0,1,42.5909,25,Circle,ubuntu-debootstrap
1,0,1.2714,13,4,11,8,Docker,ubuntu
4,0,1.3458,21,5.2,52.2,17,Docker,jenkins-master
45,0,1.3991,0,1.5,5.5,87,Circle,jessiej
1,0,1.4688,32,1.25,10.5,42,Docker,node
4,0,1.5431,0,1,8,38,Circle,ruby-base
5,0,1.5897,0,1,18,69,Circle,node
3,0,1.6989,0,7.875,41.7083,83,Circle,restweb
4,0,1.8103,0,0,12.6667,54,Circle,node
5,0,1.8891,16,18,40,8,Docker,ubuntu
3,0,1.9021,144,10.4211,12.5263,59,Docker,mercury-depend
17,0,1.9172,0,4,10.5,28,Travis,stack
1,0,1.9225,0,1.8,6.2,17,Travis,ruby
3,0,1.9494,0,3,7,31,Travis,node
2,0,1.9786,0,1,2,93,Travis,nginx
27,0,1.9942,0,7,21.75,153,Circle,debian
18,0,2.0159,0,9.9474,18.9474,63,Circle,stage3-amd64
19,0,2.1284,0,2.2941,6.9412,49,Circle,ubuntu
10,0,2.1497,0,4.6667,14.3333,47,Circle,core-box
6,0,2.3135,0,1,3.6,36,Circle,tomcat
8,0,2.4782,0,2,5.5,40,Circle,result-processing
1,0,2.4809,14,0,3.6667,14,Docker,golang
4,0,2.7616,106,4,7.4,165,Docker,nginx
8,0,2.7825,0,0.1111,15.7778,51,Travis,python
2,0,2.8878,0,7,21,47,Travis,java
3,0,3.3336,0,2.6667,10.3333,103,Circle,maven
32,0,3.464,0,0,8,996,Travis,node
16,0,3.4829,0,5.2667,32.2,222,Circle,base-jdk
12,0,3.493,0,1.2857,12,80,Circle,node
31,0,3.5673,0,2.2857,11.1429,126,Circle,node
53,0,3.7152,0,7,13.0769,155,Circle,wiley
4,0,3.7266,22,3.4444,22.1111,14,Docker,php
1,0,3.7364,20,3.4737,21.8947,34,Docker,java
26,0,3.7996,0,5.6364,10.2727,53,Circle,ruby
18,0,3.8613,95,1,10.6667,346,Docker,debian
68,0,4.0829,0,4,11.6,80,Circle,ubuntu
21,0,4.1009,0,2,5,43,Circle,node
2,0,4.1674,12,0.1111,1,23,Docker,kube-apiserver-amd64
3,0,4.1889,0,3.5,3.3333,35,Circle,ubuntu
9,0,4.3663,0,3.5,5.5,134,Travis,mono
2,0,4.4008,0,4.5833,19,100,Travis,debian
7,0,4.5204,0,1.5556,10.3333,118,Circle,alpine-node
2,0,4.7586,23,5.6667,62.6667,13,Docker,centos-r-base
9,0,4.8695,0,0,6.25,110,Circle,golang
1,0,5.0017,87,3,15,107,Docker,java
1,0,5.0218,25,6.5,21.2143,24,Docker,ubuntu
50,0,5.1926,0,2,4,244,Circle,wildfly
3,0,5.4865,0,10.8,12,32,Travis,debian
9,0,5.5451,0,1,4,110,Travis,java
14,0,6.0321,0,3.0714,10.2143,62,Circle,node
1,0,6.2188,20,7,20.5,31,Docker,ruby
1,0,6.7559,0,1.3333,15.6667,69,Travis,openjdk
55,0,6.937,0,0.3571,9.5714,105,Circle,alpine-node
43,0,6.9593,0,1,2,232,Circle,nginx
8,0,6.9966,19,1.5714,12.5714,39,Docker,golang
1,0,7.0062,13,2,7,12,Docker,ruby
16,0,7.0563,0,3.0984,13.0984,130,Circle,alpine-base
13,0,7.0611,0,1,5.6,684,Circle,basejava
10,0,7.1077,0,3.3333,6.25,146,Travis,alpine-java
22,0,7.178,0,4,4,34,Circle,ubuntu
15,0,7.3738,0,1,7,227,Travis,node
5,0,7.6219,0,24.2857,49.8571,174,Circle,ubuntu
1,0,7.7354,0,1,32,48,Travis,alpine
4,0,7.8564,0,1.5833,6.6667,164,Circle,jetty
17,0,7.9905,0,2.8,14.5,244,Circle,basebottle
28,0,8.0164,0,6.7222,19.2778,197,Travis,ubuntu
18,0,8.0457,0,0.7143,4.8571,128,Travis,node
60,0,8.1562,0,0,7.0909,616,Circle,node
31,0,8.3907,0,5,13,102,Circle,node
25,0,8.5805,0,3,8,31,Circle,nodejs
2,0,8.7011,0,1.3333,7.4444,28,Travis,alpine
36,0,9.0212,0,4.9483,17.8793,248,Circle,centos
4,0,9.2859,0,1,6,121,Circle,ruby
14,0,9.9813,0,2.4762,4.4286,147,Travis,node
2,0,10.0257,29,1.2308,13.6154,22,Docker,nginx
34,0,10.8772,0,0.4,4.8,62,Circle,java
9,0,11.1153,0,1,5.6667,57,Travis,golang
26,0,11.255,0,3,6,133,Circle,basebox
7,0,11.9235,28,1,9.3077,85,Docker,golang
32,0,11.9712,0,0,9.75,973,Circle,node
26,0,12.0208,0,0.6667,5.7778,114,Circle,tomcat
15,0,12.0513,0,2.7826,13.6618,63,Travis,php
2,0,12.8416,0,7.75,41.5,442,Circle,alpine
27,0,12.9248,0,11.0909,14.1364,121,Travis,java
8,0,13.0814,0,0.6,11.6,49,Circle,alpine-ruby
26,0,13.4489,0,5,18.25,84,Circle,passenger-ruby21
21,0,13.5809,0,4.9231,13.1538,161,Circle,baseimage
1,0,13.8373,0,1,5,75,Circle,node
4,0,14.0696,51,6,11.6667,85,Docker,uwsgi
4,0,14.1239,97,6.4286,22.2857,27,Docker,atlassian-docker
24,0,14.898,0,6,12,164,Travis,golang
6,0,15.4399,0,3.2,9.2,100,Travis,alpine
10,0,16.1885,0,4.7692,35.3077,210,Circle,golang
5,0,16.672,0,3,7,65,Circle,ubuntu
2,0,17.0168,35,1.6667,13.2381,49,Docker,nginx
10,0,17.0443,0,9,11.5,70,Circle,ubuntu
4,0,17.2326,0,0,8.3333,26,Circle,golang
5,0,17.7201,0,1,13,116,Circle,node
1,0,19.886,29,3.7778,25.6667,44,Docker,ubuntu-16-nginx-php-phpmyadmin
5,0,19.9171,0,6,8,919,Travis,ubuntu
3,0,19.9254,16,3,10,35,Docker,python
6,0,19.93,0,2.6,13.6,88,Circle,alpine
15,0,20.3874,0,2,7,31,Circle,java
33,0,20.8866,0,3,8.3333,64,Circle,alpine
6,0,20.9747,0,2,7,69,Circle,alpine
20,0,21.8894,0,2,5,364,Circle,alpine
6,0,22.912,22,2.0769,10.0769,30,Docker,python
83,0,23.0597,0,4.129,7.8387,4106,Circle,alpine
16,0,23.1062,143,2.25,33.875,239,Docker,ubuntu
8,0,23.1293,0,0.8,3.2,157,Circle,java
3,0,23.8519,0,3.0968,9.3871,190,Travis,alpine-node
34,0,23.8922,0,2,6,323,Travis,openjdk
8,0,23.9849,39,2,4.5,49,Docker,golang
8,0,25.0027,0,0.8889,8.1111,81,Circle,nodejs
7,0,25.0743,0,4,8,323,Circle,nginx
5,0,25.4439,0,2,6.5,32,Circle,scratch
72,0,27.8815,0,1,97.3167,169,Travis,ubuntu
2,0,27.9165,33,1.5,30.4,38,Docker,alpine-nginx
11,0,27.9552,0,1,7,111,Travis,python
11,0,28.0398,0,1.3333,5,91,Circle,alpine
4,0,29.0707,0,0,3,112,Circle,jetty
7,0,29.3739,0,3,5.7143,1289,Circle,centos
3,0,29.8851,0,0,5,102,Circle,busybox
2,0,30.0052,0,1,7,67,Circle,nginx
5,0,30.7234,0,1,6.6667,54,Circle,prometheus
9,0,30.8583,1000,6,14,4,Docker,debian
2,0,30.8876,0,1,8,58,Travis,java
9,0,31.9798,36,3.3125,32.25,42,Docker,centos
5,0,33.9518,0,2,5,98,Circle,node
1,0,35.9786,171,10.5714,9.2857,21,Docker,ubuntu
3,0,36.0031,0,0.5,2.75,36,Travis,node
29,0,36.036,0,0,4,1208,Circle,alpine
2,0,36.5658,15,1,27,29,Docker,python
11,0,37.9017,0,2.8571,13,82,Circle,nodejs
1,0,37.9263,0,1,3,133,Travis,nginx-template-image
12,0,37.9807,0,4,14,108,Circle,baseimage
4,0,39.0562,0,8,17.6,701,Circle,slidehub-base
6,0,42.0784,0,1,8.2,71,Circle,golang
144,0,44.7265,0,1,8.7436,1582,Circle,alpine
2,0,50.2294,0,0,3,86,Travis,python
6,0,51.7653,0,8.625,43.875,40,Circle,ubuntu
13,0,51.8739,80,4.1111,36.1111,103,Docker,php
13,0,52.0142,78,2.1429,31,62,Docker,alpine
16,0,54.1992,0,0.8571,6.7143,272,Circle,parkmap
1,0,54.2374,27,8.6364,26.8182,35,Docker,minimal-notebook
1,0,55.7765,57,1.4545,9.5455,92,Docker,golang
28,0,60.4764,0,1,6,69,Travis,alpine
14,0,60.9955,0,0,5,376,Travis,alpine-node
3,0,61.5269,16,5,24,7,Docker,alpine-base
1,0,61.9695,19,9.3333,20.3333,21,Docker,hadoop-docker
1,0,62.0019,35,2,25.1429,100,Docker,php7-fpm
3,0,62.2769,39,3.8182,12.3636,31,Docker,elasticsearch
4,0,62.9529,0,1.625,10.0625,166,Circle,python
12,0,62.9792,0,2.25,16.75,51,Circle,base
2,0,63.9709,0,3,5,84,Travis,nginx
11,0,64.2844,0,2,10,164,Travis,alpine-node
3,0,64.8187,0,0,10,215,Travis,node
44,0,64.9491,0,12.4839,35.6129,1606,Circle,ubuntu
1,0,65.0834,43,1,25.5,383,Docker,node
1,0,68.9188,87,14,35.0714,69,Docker,baseimage
7,0,70.3905,0,2.4,7,179,Travis,docker-rails
9,0,71.8883,0,1,32.6667,285,Circle,fedora
9,0,72.4841,0,1,5,205,Circle,alpine
5,0,72.5254,0,1.5,7,55,Circle,erlang18
16,0,73.0325,0,2,4.4,577,Travis,nginx
10,0,73.9178,0,3.8,10.4,49,Circle,alpine
13,0,75.0452,0,1,10,302,Travis,java
14,0,76.1552,0,6.875,38,71,Circle,base
1,0,76.2529,0,1,4.2857,48,Circle,alpine
8,0,79.811,0,1,7.5,54,Circle,scratch
2,0,79.9721,0,6,12,126,Travis,golang
2,0,82.3704,0,0,8,71,Circle,node
3,0,82.9521,0,2,9.5,927,Travis,lewis-depends
3,0,83.0324,0,0,7,88,Circle,node
5,0,87.0817,0,1,7,51,Travis,rust
80,0,92.7464,0,0.8095,19.619,924,Travis,fpm-nginx
26,0,94.7589,0,2.1,18,293,Circle,core-box
3,0,97.8665,0,0.75,15.25,52,Circle,alpine
26,0,97.927,0,1,2,111,Circle,baseimage
3,0,98.0739,0,4,9.5,55,Circle,node
7,0,98.1166,0,8.6,12,267,Circle,ruby
75,0,110.1,0,4.2791,19.3721,1273,Circle,alpine-build
7,0,110.195,0,0.75,38.75,386,Circle,python
2,0,111.732,0,1,4.7778,69,Travis,scratch
13,0,112.138,0,5.4,21.35,489,Travis,python
1,0,114.074,20,7,40,8,Docker,alpine
11,0,120.021,0,2,8.3333,1847,Circle,ruby
4,0,122.069,28,1,7.75,123,Docker,storyteller
1,0,122.77,0,0,7,99,Circle,node
1,0,123.565,0,0,6.6,52,Circle,node
6,0,123.587,0,1,3,77,Circle,nginx
8,0,124.152,186,0.9615,42.6154,503,Docker,debian
2,0,128.551,0,3,6.25,218,Travis,oracle-jdk
1,0,131.033,0,1,6.5,47,Travis,node
7,0,131.586,0,2,6.625,178,Circle,node
2,0,133.589,25,3.1163,16.5814,89,Docker,base
19,0,139.006,0,12.3846,39.2308,174,Travis,ubuntu
21,0,139.956,0,0,8,363,Circle,busybox
6,0,140.839,0,1.4,8.9,82,Travis,java
1,0,144.806,15,3,16,22,Docker,alpine
1,0,146.273,14,4.0769,22.1538,12,Docker,laravel-container
1,0,146.595,0,4,9,273,Travis,websphere-liberty
24,0,149.07,0,6,10.6667,54,Circle,ubuntu
8,0,151.091,0,3.75,9.25,55,Travis,nginx
43,0,151.886,0,20.4615,41.6923,916,Travis,ubuntu
20,0,155.068,0,9.875,13.875,420,Circle,ubuntu
92,0,160.07,0,1,9,562,Travis,node
76,0,164.087,0,0,9.5714,876,Circle,node
8,0,167.098,0,1,11.5,141,Travis,scratch
5,0,169.855,53,3.7778,37.5556,226,Docker,openjdk
14,0,170.01,0,3.15,21.8,277,Circle,ubuntu
1,0,170.079,0,3.5714,5,240,Travis,node
46,0,187.126,0,2.125,6.875,601,Circle,python
1,0,191.968,0,4,10,209,Travis,debian
16,0,191.971,0,1.8889,8.5556,200,Circle,docker-tomcat-ffmpeg
33,0,194.171,0,2,5.3333,376,Travis,alpine-java
24,0,198.945,0,3,9.5,621,Travis,ruby
11,0,200.918,0,6.08,28.82,180,Circle,alpine
19,0,200.961,0,3.7778,15.6667,762,Circle,alpine-glibc
24,0,202.327,0,0,1.5,242,Travis,python
3,0,204.008,0,4.1071,10.5714,448,Travis,nginx
2,0,208.122,0,3,21,99,Circle,core-box
17,0,212.258,0,0.8333,3.6667,155,Circle,nginx
21,0,217.199,0,3.4074,8.5926,400,Travis,websphere-liberty
2,0,218.159,0,4.5833,14.6667,211,Travis,haproxy
74,0,218.499,0,1,10.3056,269,Circle,verse
5,0,219.294,0,2.6667,17.6667,162,Circle,core-box
9,0,220.16,0,3,22,91,Circle,core-box
3,0,220.475,0,3.8,8.4,609,Circle,meteor-base
36,0,222.737,0,2.1127,14.5,4831,Circle,alpine-java
94,0,224.738,0,2.0833,7,2974,Circle,golang
1,0,224.962,0,3.6,7.5333,321,Travis,websphere-liberty
2,0,225.289,0,3,22,99,Circle,core-box
3,0,226.105,0,1,9.1818,372,Travis,node
1,0,226.178,0,4.2258,9.6452,342,Travis,websphere-liberty
5,0,228.727,0,3,21,51,Circle,core-box
77,0,234.734,0,2.2,7.9,198,Circle,codius.org
15,0,235.081,0,6.4762,8.619,208,Circle,alpine
2,0,237.925,0,2,5,144,Travis,alpine-node
5,0,242.423,0,4.0476,24.0952,581,Travis,alpine
21,0,245.74,0,0,4.5,321,Travis,scratch
4,0,251.358,0,1.5714,4.5714,206,Travis,maven
6,0,253.975,0,0,7,108,Circle,java
4,0,255.937,0,1,7,308,Travis,alpine
23,0,262.027,0,0,6.6,819,Travis,java
2,0,265.887,0,4.25,15.5,47,Circle,core-box
3,0,267.745,0,3,20,181,Circle,core-box
19,0,267.767,0,4.25,8.25,152,Circle,typo3-flow-neos-abstract
2,0,274.265,0,1.5,4.5,71,Circle,nginx
31,0,281.928,0,3,22,126,Circle,core-box
2,0,285.101,0,1.5,4,239,Travis,golang
17,0,301.246,0,2,7.8,1809,Travis,node
5,0,301.267,0,1,3,174,Circle,nginx
12,0,302.106,0,1,37.8571,238,Circle,debian
2,0,331.064,0,5.0167,61.1667,58,Travis,debian-debootstrap
2,0,341.808,0,0.25,3,50,Circle,scratch
3,0,342.094,26,9.9048,36.619,63,Docker,nginx
2,0,342.655,0,3,7,275,Circle,meteor-base
2,0,345.606,0,6.7778,18.5556,102,Travis,ubuntu
31,0,345.935,0,0,8.1818,421,Circle,alpine
1,0,349.282,0,1.8214,5.3571,196,Travis,java
22,0,353.239,0,1.4286,50.2857,302,Travis,ubuntu
2,0,356.443,0,5,19,78,Circle,python
74,0,364.981,0,2,33.5,723,Travis,ubuntu
14,0,369.967,0,0,9,264,Circle,alpine
1,0,371.673,0,2.8077,16.0769,56,Travis,alpine
11,0,377.098,0,3.4444,9.4444,178,Circle,alpine-node
7,0,378.032,41,0.25,7,42,Docker,docker
6,0,378.905,0,2.6667,16.6667,293,Travis,node-chrome
