nSuccessBuild,timeFlag,ageAtCD,totalBuilds,nIssuesOfDockerfile,nLinesOfDockerfile,totalCommits,workflow,baseImage
4,0,0.0026,21,0,8.75,18,Docker,alpine
4,0,0.0041,13,1,3,2,Docker,golang
4,0,0.0058,133,4,7,2,Docker,ubuntu
4,0,0.0071,17,1,19.5,11,Docker,java
4,0,0.0163,11,5,15.6667,5,Docker,ubuntu
4,0,0.0186,19,5.5,33.5,3,Docker,ubuntu
4,0,0.037,81,0,13,28,Docker,alpine
4,0,0.0376,31,4.375,32.25,26,Docker,ubuntu
4,0,0.0393,0,1.5,2.5,31,Travis,nginx
4,0,0.0542,22,1,11,17,Docker,debian
4,0,0.0632,0,2,17,8,Travis,rpi-alpine
4,0,0.1,13,1,5,18,Docker,dind
4,0,0.1057,152,3,7,22,Docker,mesos
4,0,0.1637,12,3.3333,17.3333,13,Docker,jenkins
4,0,0.2089,23,4,28.8571,8,Docker,systemd-base
4,0,0.7375,394,11,33.3333,11,Docker,ubuntu
4,0,1.0262,14,2.625,12.625,9,Docker,java-centos
4,0,2.4295,65,9,17,55,Docker,baseimage
4,0,3.9063,15,6.3333,24.3333,15,Docker,openjdk
4,0,14.0272,19,5.25,20.125,61,Docker,ubuntu
4,0,17.0443,0,9,11.5,70,Circle,ubuntu
4,0,29.172,11,2,9,12,Docker,claw-base
4,0,33.9518,0,2,5,98,Circle,node
4,0,37.405,0,2,4,47,Circle,busybox
4,0,97.8665,0,0.75,15.25,52,Circle,alpine
4,0,98.1166,0,8.6,12,267,Circle,ruby
4,0,209.99,42,1.6,11.6,39,Docker,alpine
4,0,430.951,0,1,4.6667,203,Circle,scratch
4,0,526.864,0,2.0497,8.8261,479,Travis,ubuntu
4,0,734.907,0,1,26.5,2760,Travis,buildenv
4,0,1644.88,0,4.3333,9.8333,509,Travis,debian
5,0,0.001,290,3,15.3333,10,Docker,debian
5,0,0.0023,21,1,6,8,Docker,node
5,0,0.0033,27,6,22.75,18,Docker,ubuntu
5,0,0.0036,79,5.6667,12,60,Docker,debian
5,0,0.0041,11,4,10,4,Docker,debian
5,0,0.0051,52,17.25,34,43,Docker,debian
5,0,0.0052,19,1,16,10,Docker,baseimage
5,0,0.0081,19,2,5.5,4,Docker,tools
5,0,0.0093,15,4,7.6667,11,Docker,jenkins
5,0,0.0097,48,2,3,54,Docker,cedarish
5,0,0.0097,26,11,32.7143,31,Docker,ubuntu
5,0,0.0112,16,3.6667,9,18,Docker,jenkins
5,0,0.0131,207,1,14,39,Docker,openjdk
5,0,0.0151,13,4.6667,23.6667,10,Docker,debian
5,0,0.0171,12,2,19.4,9,Docker,alpine
5,0,0.0208,19,6,24,2,Docker,server-jre-8
5,0,1.1881,954,3,4,7,Docker,php
5,0,1.2172,11,1,18.25,14,Docker,alpine
5,0,1.2714,13,4,11,8,Docker,ubuntu
5,0,1.5897,0,1,18,69,Circle,node
5,0,6.7559,0,1.3333,15.6667,69,Travis,openjdk
5,0,19.93,0,2.6,13.6,88,Circle,alpine
5,0,23.9849,39,2,4.5,49,Docker,golang
5,0,28.9605,15,5,56.5,45,Docker,ubuntu
5,0,61.5269,16,5,24,7,Docker,alpine-base
5,0,162.763,12,4.6667,10.6667,15,Docker,debian
5,0,245.74,0,0,4.5,321,Travis,scratch
5,0,274.265,0,1.5,4.5,71,Circle,nginx
5,0,371.673,0,2.8077,16.0769,56,Travis,alpine
5,0,500.026,0,9.9355,19.4194,85,Circle,diaspora-docker
5,0,708.75,0,4.25,20.375,99,Travis,alpine
5,0,721.256,0,4.25,19.3,4412,Circle,base
5,0,734.948,0,6,10,144,Circle,openjdk
6,0,0.0014,17,4.5,9.5,24,Docker,alpine
6,0,0.0017,340,2,8.25,14,Docker,debian
6,0,0.0019,0,4,8.8,15,Circle,java
6,0,0.0025,79,4,28.5,11,Docker,debian
