build_id,dockerhub_repo,status,created_date,last_updated
12910572,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2017-07-06 09:37:24,2017-07-06 09:42:45
12771567,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2017-06-29 14:16:15,2017-06-29 14:28:33
11491759,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2017-04-27 17:26:10,2017-04-27 17:33:16
11463144,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2017-04-26 15:28:50,2017-04-26 15:36:23
11338054,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2017-04-20 13:43:10,2017-04-20 13:51:05
10687631,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2017-03-15 10:44:21,2017-03-15 10:48:39
10676231,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2017-03-14 17:17:26,2017-03-14 17:22:27
10167911,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2017-02-15 12:26:26,2017-02-15 12:31:35
9978708,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2017-02-06 10:36:24,2017-02-06 10:41:06
8939279,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2016-12-15 12:18:34,2016-12-15 12:51:42
8760476,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2016-12-09 10:21:00,2016-12-09 10:25:51
8759799,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2016-12-09 09:24:45,2016-12-09 09:28:31
8531118,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2016-11-25 13:37:45,2016-11-25 13:41:53
8520046,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2016-11-24 14:39:23,2016-11-24 14:42:09
7701630,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2016-10-11 08:46:42,2016-10-11 08:52:50
6164018,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2016-07-18 15:54:16,2016-07-18 15:56:42
6091472,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2016-07-13 11:20:20,2016-07-13 11:22:47
6063800,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2016-07-11 14:22:50,2016-07-11 14:25:42
5949066,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2016-07-05 10:00:47,2016-07-05 10:03:34
5817297,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2016-06-27 12:37:31,2016-06-27 12:40:36
5734146,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2016-06-23 16:24:37,2016-06-23 16:27:03
5733100,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2016-06-23 15:17:32,2016-06-23 15:24:40
5716896,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2016-06-22 15:02:37,2016-06-22 15:05:20
5684602,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2016-06-20 15:43:58,2016-06-20 15:46:24
5684587,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2016-06-20 15:42:23,2016-06-20 15:45:20
5637803,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2016-06-16 16:32:03,2016-06-16 16:34:51
5632596,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,-1,2016-06-16 09:55:57,2016-06-16 09:56:05
5617865,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2016-06-15 15:39:41,2016-06-15 15:42:28
5612916,1and1internet/ubuntu-16-nginx-php-phpmyadmin-mariadb-10,10,2016-06-15 09:30:41,2016-06-15 09:33:28
12586133,2dotstwice/nginx,10,2017-06-20 23:37:46,2017-06-20 23:56:57
12232935,2dotstwice/nginx,10,2017-06-06 18:00:39,2017-06-06 19:48:04
12231244,2dotstwice/nginx,10,2017-06-06 17:58:15,2017-06-06 18:46:01
12157700,2dotstwice/nginx,10,2017-06-02 16:19:19,2017-06-02 16:36:59
11818709,2dotstwice/nginx,10,2017-05-15 16:46:02,2017-05-15 19:53:22
11404144,2dotstwice/nginx,10,2017-04-24 22:59:27,2017-04-25 02:08:38
11218812,2dotstwice/nginx,-2,2017-04-12 21:08:24,2017-04-13 00:21:44
10547878,2dotstwice/nginx,10,2017-03-06 18:14:34,2017-03-06 18:54:49
10387317,2dotstwice/nginx,10,2017-02-27 19:54:51,2017-02-27 21:34:46
10382127,2dotstwice/nginx,10,2017-02-27 19:44:45,2017-02-28 00:14:53
9935773,2dotstwice/nginx,10,2017-02-04 12:47:30,2017-02-04 12:52:28
12590069,ablu/ubuntu-texlive-full,10,2017-06-20 23:44:23,2017-06-21 01:50:52
12590032,ablu/ubuntu-texlive-full,10,2017-06-20 23:44:18,2017-06-21 01:17:18
12588146,ablu/ubuntu-texlive-full,10,2017-06-20 23:40:03,2017-06-21 02:34:09
12234305,ablu/ubuntu-texlive-full,10,2017-06-06 18:01:39,2017-06-06 19:14:43
12162202,ablu/ubuntu-texlive-full,10,2017-06-02 16:26:57,2017-06-02 18:04:33
12160690,ablu/ubuntu-texlive-full,10,2017-06-02 16:22:56,2017-06-02 18:10:34
11821993,ablu/ubuntu-texlive-full,10,2017-05-15 16:51:00,2017-05-15 19:30:17
11820567,ablu/ubuntu-texlive-full,10,2017-05-15 16:48:13,2017-05-15 18:58:45
11407968,ablu/ubuntu-texlive-full,10,2017-04-24 23:05:40,2017-04-25 00:49:11
11406745,ablu/ubuntu-texlive-full,10,2017-04-24 23:01:42,2017-04-25 00:46:58
11222880,ablu/ubuntu-texlive-full,10,2017-04-12 21:14:58,2017-04-12 23:23:42
11221449,ablu/ubuntu-texlive-full,10,2017-04-12 21:10:59,2017-04-12 22:46:37
10386041,ablu/ubuntu-texlive-full,10,2017-02-27 19:51:10,2017-02-28 02:35:31
10384739,ablu/ubuntu-texlive-full,10,2017-02-27 19:47:49,2017-02-27 22:31:27
9566234,ablu/ubuntu-texlive-full,10,2017-01-20 21:50:27,2017-01-21 01:03:27
9565047,ablu/ubuntu-texlive-full,10,2017-01-20 21:49:06,2017-01-21 01:11:33
8998629,ablu/ubuntu-texlive-full,10,2016-12-15 23:47:42,2016-12-16 01:42:34
8986517,ablu/ubuntu-texlive-full,10,2016-12-15 21:59:59,2016-12-15 23:50:07
8984915,ablu/ubuntu-texlive-full,10,2016-12-15 21:52:39,2016-12-15 23:08:44
8972418,ablu/ubuntu-texlive-full,10,2016-12-15 20:14:46,2016-12-16 01:46:02
8961824,ablu/ubuntu-texlive-full,10,2016-12-15 19:19:18,2016-12-15 23:23:54
8954702,ablu/ubuntu-texlive-full,10,2016-12-15 18:33:59,2016-12-15 22:30:38
8952849,ablu/ubuntu-texlive-full,10,2016-12-15 18:26:33,2016-12-16 00:09:50
8582907,ablu/ubuntu-texlive-full,10,2016-11-29 20:17:15,2016-11-29 21:58:53
8581215,ablu/ubuntu-texlive-full,10,2016-11-29 20:09:45,2016-11-29 21:37:59
8376404,ablu/ubuntu-texlive-full,10,2016-11-16 21:01:55,2016-11-16 22:06:11
7751839,ablu/ubuntu-texlive-full,10,2016-10-13 21:16:50,2016-10-13 22:14:07
7488926,ablu/ubuntu-texlive-full,10,2016-09-26 23:17:22,2016-09-27 00:16:44
7300750,ablu/ubuntu-texlive-full,10,2016-09-19 18:53:32,2016-09-20 03:19:40
7298138,ablu/ubuntu-texlive-full,10,2016-09-19 18:28:28,2016-09-20 02:38:10
6901856,ablu/ubuntu-texlive-full,10,2016-08-26 21:32:21,2016-08-26 22:59:57
6887628,ablu/ubuntu-texlive-full,10,2016-08-26 19:00:44,2016-08-26 19:51:52
6628337,ablu/ubuntu-texlive-full,10,2016-08-11 20:59:50,2016-08-11 23:28:34
6276637,ablu/ubuntu-texlive-full,10,2016-07-23 13:59:54,2016-07-23 15:16:21
6180433,ablu/ubuntu-texlive-full,10,2016-07-18 20:26:25,2016-07-18 21:35:09
6174305,ablu/ubuntu-texlive-full,10,2016-07-18 19:00:23,2016-07-18 20:08:23
6035786,ablu/ubuntu-texlive-full,10,2016-07-08 22:02:47,2016-07-08 23:02:59
6026976,ablu/ubuntu-texlive-full,10,2016-07-08 20:20:44,2016-07-08 21:57:14
